,sequence,label
96,"Terre-Hermess, courgette ça ira",neutral
100,Sa resemble + a une concombre enfet .. titeseve,neutral
103,TiteSeve >> on va tout savoir !,neutral
110,"C'est vrai ,désolé GCDS",neutral
118,TiteSeve,neutral
124,qui pv,neutral
128,!seen sososen,neutral
129,demain paron,neutral
130,"Sososen (Chaat@B47D95B.96F10272.CD20A92.IP) a été vu pour la dernière fois quitter #Accueil il y a 6 heures, 25 minutes (Bon retour sur www.chaat.fr).",neutral
134,"Terre-Hermess Garde ma place, je vais au tit coin!",neutral
144,"Chaat.fr - n°30149  Aujourd'hui, mon amoureux et moi retapons une maison. Un technicien de mon opérateur téléphonique est passé pour relier la maison au poteau téléphonique. Il a effectivement relié quelque chose au poteau : ma sonnette ! Elle peut donc maintenant appeler en illimité. VDM ",neutral
148,au fait killbill as tu lu mon message en pv,neutral
150,je suis en train hannibal-smith76|venere,neutral
154,"Bah oué Terre-Hermess, encore",neutral
155,Loane mdr keskia,neutral
156,!Seen Mariie,neutral
157,"Mariie (Chaat@DF848C5B.F0AE1EA3.BFD94F61.IP) a été vu pour la dernière fois quitter #Accueil il y a 2 heures, 18 minutes (Bon retour sur www.chaat.fr).",neutral
161," ℹ️ [ INFO Chaat.fr ] ℹ️ : Ce TChat étant Francophone, nous vous invitons à écrire de façon à ce que vous soyez compris par TOUS. Le language SMS n'est pas toléré... ba ué c kom sa dsl. Tout abus après ce message sera puni sans préavis ! (ง'̀-'́)ง(/❛o❛)/",neutral
164,on parle avec plusieurs personnes simultanément?,neutral
169,Terre-Hermess Suis continente heing!,neutral
179,Salut recherche pv sympa,neutral
181,comment fait-on pour créer un tchat réservé à deux personnes?,neutral
182,cherche femme pour bras anusien fast dm ig,neutral
185,xlormilena un pv donc.. il suffit de cliquer sur le pseudo et privé,neutral
186,Basseme y a combien 1 partout,neutral
190,cela s'appelle un  pv xlormilena,neutral
192,Mars07: vois avec nazou,neutral
204,que recherche tu par ici,neutral
215,bonsoir ya des filles pour un pv,neutral
216,Un pv et faire connaissance et toi,neutral
219,et vu les faits,neutral
222,les doigts dans le nez hannibal-smith76|venere mdrrrr,neutral
235,Les anglais gagneront l euro,neutral
238,oui c'est ça TiteSeve,neutral
239,Gode save the queen,neutral
241,les anglais ils vont faire comme les belges,neutral
245,killbill: c est bien l espoir mais ca garantit rien,neutral
247,Un anglais ça ne pleure pas ça a du faire play,neutral
248,je sais bien tizi,neutral
249,Quelle ville/village hannibal-smith76|venere? (10 ans à Rouen pour ma part),neutral
250,mdrr bah voyons stage,neutral
251,Et Mont saint aignan,neutral
252,Et du fitching,neutral
253,TiteSeve >> fait collection de canapés ??,neutral
258,Et ca mange des puddings,neutral
262,"m'enfin reste Belkacem|dz, je te promets que Lorem ne recommencera plus :s",neutral
265,Une petite séance de tirs aux buts,neutral
270,Tel ?,neutral
273," ℹ️ [ INFO Chaat.fr ] ℹ️ : Tapez !radio pour avoir les liens de vos DJ préférés ♫♬♪, ou Activez le player en bas de page sur les boutons: ▶│┄ ᴧ",neutral
285,Bille jean,neutral
286,Vu hannibal-smith76|venere :),neutral
288,Une demi heure,neutral
290,Billie jean,neutral
298,lol l'espagne oui,neutral
301,oh je pensais l avoir fait stage mdrrr,neutral
305,killbill:  ?,neutral
306,Bon bon bon..,neutral
307,Massss ?,neutral
314,"je dois m'habiller, je vais rejoindre mon gars encore",neutral
317,Hum...,neutral
318,enfin cette nuit,neutral
319,Bne soirée broken,neutral
322,donc c'est encore une fois,neutral
323,"Chaat.fr - n°38328    Aujourd'hui, j'ai bêtement rougi quand ma prof de saxo m'a dit que j'avais un bel instrument. VDM ",neutral
325,fais toi désirer un peu,neutral
327,killbill:  de quoi trop ?,neutral
329,je me suis fait désirer dimanche,neutral
332,Du Michel le-grand  bien aussi non ? PetitPierre|Happy-Days|On-AiR,neutral
334,Moi c est le but des espagnols qui se fait désirer,neutral
341,ah bon ? Massss quoi donc ?,neutral
345,c'est quoi le titre de la chanson,neutral
347,killbill:  .... le sexe en EHPAD ne se pratique qu'entre adultes qu'ont cent ans,neutral
352,Sihem cc,neutral
354,"Terre-Hermess, tu dors?",neutral
357,Bonsoir poutre tu es dans le domaine du bâtiment ?,neutral
358, ♪♪♫♫♫ On Ecoute 🎧 Disha|DiaL-MuSic|OnAiR KarantezTener|Etincelles|OnAir Maude2b|US-Route-66|OnAir En live ! Faites !radio pour avoir les liens des Radios de vos DJ ! ou Activez le player en bas de page sur les boutons :▶│┄ ᴧ,neutral
361, ♪♪♫♫♫ On Ecoute 🎧 PetitPierre|Happy-Days|On-AiR Zeux||Smile-RaDio|On-Air En live ! Faites !radio pour avoir les liens des Radios de vos DJ ! ou Activez le player en bas de page sur les boutons :▶│┄ ᴧ,neutral
362,Terre-Hermess Tu es Benjamin Button?,neutral
373,Sans aucun prétexte,neutral
380,inno tu es la,neutral
384,ah oui ils regardent le foot,neutral
386,Little_Ch33ky faux trouver deja,neutral
389,tu es commerciale?,neutral
399, ℹ️ [ INFO Chaat.fr ] ℹ️ : Envie de faire partie des radios sur la playlist de l'interface de t'chat? ♫♪.ılılıll|̲̅̅●̲̅̅|̲̅̅=̲̅̅|̲̅̅●̲̅̅|llılılı.♫♪ Faites en la demande sur ☞ https://support.chaat.fr/partenariat-radio :o) Enjoy !(>‿◠)✌,neutral
402,heu looping,neutral
413,Little_Ch33ky,neutral
419,sur lequel se fonde la civilisation,neutral
424,"Elolo, puriste?",neutral
428,Tu es troublé PetitPierre|Happy-Days|On-AiR mdrrrr ou tu vous trouble?,neutral
429,Little_Doolx3: fonce s'il est noble il doit avoir des sous !,neutral
430,Loogan:  pas de religion ici,neutral
431,etre athée oui,neutral
434,j'ai un oeil sur le match et un oeil sur le salon,neutral
436,Vois,neutral
441,Massss: ???,neutral
447,Le rebelle je veux bien que tu me corrige les fautes,neutral
450,Elolo: tu parles a moi ?,neutral
453,ça sent le gage mdr,neutral
465,par contre un paquet d autres oui lol,neutral
474,tu me rappelles quelqu un Elolo ;),neutral
475,L'est contente Rachel de la dédi ? :s,neutral
488,!seen Bou,neutral
489,"Bou (Chaat@4DBED753.EC38F727.8820554E.IP) a été vu pour la dernière fois quitter #Ados il y a 1 heure, 28 minutes (Bon retour sur www.chaat.fr).",neutral
490,le rebelle ah oui qui?,neutral
492,"It doesn't matter who was with you in the beginning, what matters is who will stay with you until the end",neutral
493,gn8 Yamazaki|Zzzz,neutral
494,Drôle de bruit PetitPierre|Happy-Days|On-AiR,neutral
505,Elle y était cette musique dans le film PetitPierre|Happy-Days|On-AiR,neutral
506,Zoheir la prairie,neutral
507,Massss,neutral
511,Ah oui Romantiqua ??,neutral
520,Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,neutral
525,!Seen Mariie,neutral
526,"Mariie (Chaat@DF848C5B.F0AE1EA3.BFD94F61.IP) a été vu pour la dernière fois quitter #Accueil il y a 2 heures, 48 minutes (Bon retour sur www.chaat.fr).",neutral
527,Pas trop chaud ici ?,neutral
528,loane non ça va et toi,neutral
534," ℹ️ [ INFO Chaat.fr ] ℹ️ : Pour tout signalement(¬_¬) , n'hésitez pas à remplir le formulaire ✉ ✍ ➤ https://support.chaat.fr/signalement",neutral
539,Il semblerait que Aaliyah s'offre un CoCa®-Cola (elle-lui)-même !,neutral
545,!lait Aaliyah,neutral
556,Aaliyah: moi fini ma biere,neutral
563,certains plus que d autres Elolo ;),neutral
566,oui certain plus que d'autre,neutral
571,Il semblerait que Aaliyah s'enlace (elle-lui)-même ! ❤❤❤,neutral
572,y a qui?,neutral
573,auto calin,neutral
576,Jamais mieux servi que par soi même x),neutral
578,grave,neutral
579,Bah faut bien ><,neutral
581,!mms,neutral
582,Homelander mange des M&M's® (m) (m) (m) (m) (m) Mmmm C'est Vraiment Bon !  (。●́‿●̀。),neutral
587,!seen imaane,neutral
590,c'est pas le moment du pipi le match n'est pas fini,neutral
602,mdrrr,neutral
604,"Bsr ,tu disais quoi Maude ,j'arrive!",neutral
608,1 partout italie espagne,neutral
610,C'est quoi la marque Tess_ ?,neutral
611,cc Babycrew,neutral
612,Killbill wou wou 😁,neutral
615,la famille    Babycrew,neutral
617,Elolo:  ?,neutral
618,citation d'un film,neutral
620,c des bios village sable amande saveur citron Desesperance,neutral
621,à peluche ici,neutral
623,Redol cc la famille,neutral
625,Fait paf attention je suis dans ma bulle,neutral
626,Tess_: Je me disais aussi.. merci,neutral
627," ℹ️ [ INFO Chaat.fr ] ℹ️ : Pour préserver la sécurité de votre identité virtuelle, enregistrez votre pseudo (c'est gratuit) (◦'⌣'◦)/  ➤  https://www.chaat.fr/register",neutral
628,jai un coup dans l'ail,neutral
630,dans l'ail ou l'oignon ?,neutral
631,hannibal-smith76|venere:  suis pas tess 77 lol,neutral
634,dans l ail Elolo lol,neutral
636,correction,neutral
638,nouvelle expression je ne connaissais pas mdr,neutral
639,Tir au but alors,neutral
648,Je peux en avoir un petit Tess_ ?,neutral
649,J ai vu ça 😆,neutral
652,"Ouè un LivE Radio commence ! on écoute butterfly|Radio-BamaKo|OnAir d(-_-)b  ♫♪♩, vous pouvez activer le player en bas de page sur les boutons: ▶│┄ ᴧ",neutral
657,ah tiens Elolo le pluriel de ail :),neutral
661,sans triche :),neutral
665,ails? Mdr,neutral
670,Dodo,neutral
672,heu oui c ca lol,neutral
675,Qui veut s'amuser?,neutral
676,samedi soir finale des 12 coups de midi,neutral
678,je parie sur Xavier ;),neutral
679,Avec Quesada ?,neutral
681,Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,neutral
682,de ligonnès ?,neutral
686,Tu retiens que ca de lui LeRebelle ?,neutral
688,Redol harkis  franca,neutral
699,killbill:,neutral
706,qui ca Desesperance?,neutral
709,LeRebelle: Tu ne crois pas a la presse ?,neutral
710,par rapport a quoi LeRebelle ?,neutral
711,red-hall harkis franca kawt eurasienne,neutral
713,Tess_: De Quesada,neutral
715,à plein de choses Desesperance,neutral
722,rien ne prouve que ce soit un coup monté,neutral
723,c dur le metier de journaliste,neutral
724,on y était pas que je sache,neutral
729,Comme un ouragan ♫,neutral
737,Tir au but a alors,neutral
739,Tess_ pourquoi,neutral
744,red-hall elle de fait dansé la brosse danse danse mademoiselle   red-hall  tablati                       b,neutral
751,qui a une blague à raconter ?  ^^,neutral
761,"Femme actuelle recommande les régimes et les mini-jupes, ils disent vrai.",neutral
767,c'est ta compassion angélique qui parle,neutral
780,T'as lu le livre de karl zéro 1 sur 5 Desesperance?,neutral
781,N'empêche que LeRebelle ?,neutral
782,à armes égales je parie sur Xavier,neutral
785,60 secondes quesada vs xavier,neutral
786,Le_Seigneur_Des_Tombes: Sur Nordhal ?,neutral
800,italie,neutral
802,les gens,neutral
806,j ai juste pas relevé,neutral
809,italie se qualifie,neutral
810,je vais postuler pour un poste comme commentateur sportif,neutral
812,oui je dois l'admettre,neutral
814,"Ouai j'ai vu ca Le_Seigneur_Des_Tombes ,j'attend le sujet de Nordhall",neutral
818,Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤,neutral
820,ça y est Le_Seigneur_Des_Tombes j y suis,neutral
821,etcccc,neutral
822,un sujet tabou ou la surveillance électronique,neutral
824,!danse Aaliyah,neutral
826,"mes pates a la sauce piquante et aux olives romarin , j'en ai mangé une platrée , peché de gourmandise en dehors des tit gateaux Desesperance",neutral
827,!jump,neutral
828,<o/ Jump o Jump o Jump o Jump o Jump o Jump o o> ,neutral
830,"Mais qu'est ce que tu fais là killbill, envole toi vers des cieux prometteurs.",neutral
831,avec tout ça,neutral
834,!danse Homelander,neutral
836,tu m y emmènes ? Le_Seigneur_Des_Tombes,neutral
837,avec un tit peu de sauce tomate piquante,neutral
842,hannibal-smith76|venere Bah alors? :p,neutral
843,Heuyyy,neutral
852,pour gagner il faut que l italie gagne l euro,neutral
855,lol Desesperance j'ai tout mangé!,neutral
864,va falloir que je depense tout ca en marche,neutral
870,Le_Seigneur_Des_Tombes oh un ptit mélange de nos gouts ça devrait le faire,neutral
871,!coca,neutral
872,Il semblerait que Aaliyah s'offre un CoCa®-Cola (elle-lui)-même !,neutral
874,_Medecin_Ritale Y'a intérêt :c,neutral
877,bon italie danemark,neutral
879,meme pur maigrir,neutral
881,hannibal-smith76|venere c est quand la finale ?,neutral
887,....,neutral
890,comme pr la victoire de la musique mdr,neutral
894,muahahah la france,neutral
899,Tous,neutral
905,imagien la france aurait gagné,neutral
907,oui tres chaud,neutral
910,ils auraient encore fait un film lol,neutral
912,Tu t'es jamais mis une murge je suppose Tess_ ??,neutral
922,Tess_: Je me disais aussi..,neutral
927,c'est quand la finale?,neutral
929,on sait tout ça LeRebelle,neutral
930,dimanche,neutral
935,"Chaat.fr - n°197676  Aujourd'hui, je monte dans un bus longue distance. J'aperçois un très beau jeune homme et l'aborde avec un grand sourire, lui demandant si je pouvais m'asseoir à côté de lui. Il m'a répondu sèchement : ""Il n'y a pas assez de place dans ce bus ? Non, il faut que vous veniez m'emmerder."" VDM ",neutral
937,donc programme de l'été.,neutral
941,Ohh Forseti !!!,neutral
942,"Coupe d'europe, Jo et à la rentrée automne + variant lambada.",neutral
944,"Où ça, Desesperance ?! :o",neutral
948,idem aertty,neutral
949,Elle va Forseti ?,neutral
952,ya peno là,neutral
953,Italie en finale,neutral
955,voila,neutral
956,ricard,neutral
962,du coup le match est pas fini ?,neutral
965," ℹ️ [ INFO Chaat.fr ] ℹ️ :Facebook® Pour suivre l'actualité du TChat, https://www.facebook.com/chaatfr ✌",neutral
973,Maude2b,neutral
975,ce sera quoi mon gage killbill pour savoir,neutral
976,"Le_Seigneur_Des_Tombes Oui je me disais aussi, moi je suis pressé que l'été passe rien que pour ça bien qu'il fasse frais en ce moment...",neutral
979,Et oui Espagne a la maison,neutral
980,Forza Italia Forza Azzuri,neutral
981,déjà de retour Belkacem|dz ?,neutral
984,ah ah on verra hannibal-smith76|venere,neutral
986,On va manger de la pizza,neutral
988,Vivement  demain jouer 30e pour le Danemark,neutral
989,pour l instant je n ai pas encore gagné mon pari hannibal-smith76|venere,neutral
991,alors allez les Danois :),neutral
993,femme du québec,neutral
994,!tapavu C4mille,neutral
997,Y a vraiment des gens qui jouent de l'argent sur le foot?,neutral
998,Tess_: pas de quoi,neutral
999,c'est frugal ça Crepuscule,neutral
1004,l argent se joue sur tout si ca rapporte,neutral
1010,tu l'auras ta douzaine de rose,neutral
1019,film,neutral
1021,c que l aube approche lol,neutral
1023,et je ne les achète pas en grande surface,neutral
1024,mais chez mon boucher,neutral
1027,berrrkie,neutral
1028,oui c mieux killbill,neutral
1035,c'est le foot faut respecter bojik,neutral
1036,bojik: technique italienne de bus et contre attaque,neutral
1037,Puis après économies à fond > projet personnel hors études > Forseti = heureuse ! Desesperance,neutral
1038,Chacun sa technique,neutral
1039,le footballer est surment plus usé que l'autre,neutral
1042,Malicia_: belge aussi?,neutral
1046,pour ca qu'ils peuvent pas l'etre au dela d'un certain age,neutral
1047,je connais un peu l'Italie,neutral
1048,Une marche anglaise,neutral
1050,Que l'italie soit champion d Europe c est une probabilité,neutral
1055,merci idem Hannibal,neutral
1060,C'est pour la conservation Mamy?,neutral
1063,Certaine,neutral
1065,!seen Oliv,neutral
1071,🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹,neutral
1072,Mamy that's life on s'en tape,neutral
1082,"Le_Seigneur_Des_Tombes on peut le prendre comme ça oui, le froid fait dépenser plus de calories",neutral
1085,!seen louloute,neutral
1087,Je trouve 7 réponses à votre demande. Voici les 5 plus récentes (dans l'ordre): DER Louloute Mika69300 Imad QueDesTatoo. DER (Chaat@67290949.53637A01.AC221386.IP) a été vu pour la dernière fois joindre #adultes il y a 4 minutes. DER est maintenant sur #adultes.,neutral
1089,https://www.youtube.com/watch?v=YV1mQJ0dD70,neutral
1090,YouTube Opus - Life is Life - Les Années Bonheur - Patrick Sébastien par Patrick Sébastien (durée: 3:55) - Vue(s): 2305943,neutral
1092,c toi la chef Musa car Musa regne lol,neutral
1093,Candice bsr ca fait un moment,neutral
1097,danemark italie,neutral
1098,Midnight > je ne me souviens pas avoir vu charmante.,neutral
1102,je me parle encore à moi même...,neutral
1103,https://www.youtube.com/watch?v=bvFLKyAGzzI,neutral
1105,YouTube Imagine (John Lennon) | Playing For Change | Song Around The World par Playing For Change (durée: 4:06) - Vue(s): 15450139,neutral
1106,!eau,neutral
1107,Mamy se vide un seau d'eau froide sur la tête. Tu as trop chaud Mamy ? ,neutral
1110,!seen SoumHard,neutral
1112,Tess_: cc,neutral
1114,"Mamy la séductrice du chat , ne fait pas tourner trop de tête ce soir",neutral
1115,!seen BatataDz,neutral
1117,c est pas plus bête de courir après un ballon que de courir après une balle au tennis,neutral
1120,!seen Marocaine,neutral
1135,bah oui killbill ;),neutral
1136,Mamy: tu fais tourner des têtes ou monter la sève mdr,neutral
1145,C'est seulement nul pour ceux qui aiment pas c'est juste subjectif,neutral
1146,oui Broken,neutral
1151,ça c du sport,neutral
1152,Petite question svp,neutral
1153,https://www.youtube.com/watch?v=bvFLKyAGzzI,neutral
1155,vi nikki,neutral
1156,YouTube Imagine (John Lennon) | Playing For Change | Song Around The World par Playing For Change (durée: 4:06) - Vue(s): 15450139,neutral
1157,!seen JustDial,neutral
1159,"Je trouve 6 réponses à votre demande. Voici les 5 plus récentes (dans l'ordre): Nico96 JustDial Adel67 leooooooo Guest456378. Nico96 (Chaat@48E4B006.45080E0D.859665DA.IP) a été vu pour la dernière fois quitter #Accueil il y a 7 heures, 3 minutes (Bon retour sur www.chaat.fr).",neutral
1161,tiens un terre hermes,neutral
1163,Comment fait on pour envoyer 1 photo en pièce jointe j aimerai distribuer mon majeur,neutral
1167,Distribuer mon majeur?,neutral
1168,Nikki32 >> tu vas sur un hébergeur,neutral
1171,et tu charges ta foto,neutral
1177,et une pièce,neutral
1178,"Chaat.fr - n°263526  Aujourd'hui, je discute d'animaux de compagnie avec un collègue. Je lui dis préférer les chiens, ce à quoi il répond tout en fixant ma poitrine ""Hummm, je serai ravi de devenir ton chien de compagnie."" Gros malaise, il pourrait être mon grand-père. Je ne lui parle plus. VDM ",neutral
1179,Le majeur dans koi ?,neutral
1183,c les filles qui m ont appris,neutral
1190,سلام عليكم من جزائر,neutral
1194,Moi aussi hadj22.,neutral
1196,Wizzzzzzzzz,neutral
1207,"Bsr forseti , alors tu as eu tes résultats ?",neutral
1216,سلام,neutral
1217,!seen Johnjon,neutral
1218,"Sarah > Johnjon est ici, regarde mieux.",neutral
1219,fait tourné si tu et de agen frére,neutral
1220,bonsoir des_truites_en_faons,neutral
1226,femme de Gatineau ici ?,neutral
1235,qui agé,neutral
1236,lerebelle,neutral
1240,il ne manque pas un bout à ta phrase Candice ?,neutral
1248,Baztou33_grr bon je connais un peu grâce à ma tante parce que c'est pas de ma génération...,neutral
1257,qui pv,neutral
1258,CV Candice,neutral
1260,"LeRebelle ben oui mais que veux tu, j'étais pas née je crois...",neutral
1263,يوجد عرب هنا,neutral
1264,https://www.youtube.com/watch?v=BGUeRbHWNZ4,neutral
1265,YouTube Status Quo - Whatever You Want par petrovborisg (durée: 5:14) - Vue(s): 22314679,neutral
1267,faudrait une chaine spéciale années 80,neutral
1268,Il s est passé quoi sans indiscrétion forseti ?,neutral
1269,LeRebelle oui années 75-79,neutral
1278,mon pseudo le rebelle pr la série,neutral
1283,lol Koharu.,neutral
1284,donc jeune Mamy ;),neutral
1285,LeRebelle j'ai débarqué en 95 moi...,neutral
1286,Faut vraiment que je fasse un soundcloud.,neutral
1287,alors Le_Seigneur_Des_Tomb,neutral
1289,Fin 95,neutral
1293,T'as pensé quoi dmes sons uuw,neutral
1295,!calin Davros,neutral
1302,à toi de m'envoyer,neutral
1304,J'ai besoin de sexe,neutral
1311,Le_Seigneur_Des_Tomb bah envoie jveux découvrir dude,neutral
1317,Davros : je sais que ça existe sans savoir de quoi il s'agit.,neutral
1319,. https://www.youtube.com/watch?v=wXAQJ9-RQeA,neutral
1320,YouTube Le Seigneur Des Tombes - Linestimable par †Linestimable† (durée: 10:30) - Vue(s): 7,neutral
1323,Mamy:  pour moi une maman je ne l appel pas comme ca,neutral
1324,"diablotin Mamy serait un genre de contraction du mot ""Mummy""",neutral
1330,https://www.youtube.com/watch?v=XQADcAm3lqU,neutral
1331,YouTube Chris Rodrigues and Abby the Spoon Lady Take on Classic Blues par Dimitri Lotovski (durée: 3:58) - Vue(s): 1644460,neutral
1332,jmet la vidéo,neutral
1339,tu produis avec quoi,neutral
1340,Pupuce revient en pv,neutral
1343,diablotin mummy=maman,neutral
1345,"Chaat.fr - n°249652  Fourché   Aujourd'hui, d'humeur coquine, je tente de susciter l'envie chez ma copine en lui susurrant quelques mots. J'ai hésité entre ""coquine"" et ""cochonne"". Ça s'est terminé en ""coconne"". VDM ",neutral
1349,ça me donne envie de seggs le piano,neutral
1351,Appel ta copine troll.,neutral
1352,Pupuce tu veut pas quand s apel,neutral
1357,ya des fille de quebec ici,neutral
1362,je pensais que tout les trolls avaient des copines moi.,neutral
1363,"Davros : la bague, elle est où alors ? ",neutral
1364,Candice t'es où,neutral
1368,J observe chaouki,neutral
1370,Koharu Même Debussy ?,neutral
1371,Hhhhhhh,neutral
1372," ℹ️ [ INFO Chaat.fr ] ℹ️ : Ce TChat étant Francophone, nous vous invitons à écrire de façon à ce que vous soyez compris par TOUS. Le language SMS n'est pas toléré... ba ué c kom sa dsl. Tout abus après ce message sera puni sans préavis ! (ง'̀-'́)ง(/❛o❛)/",neutral
1373,Alors tu es là,neutral
1383,Tu est une française Candice,neutral
1390,!seen lia,neutral
1393,https://www.youtube.com/watch?v=ZlGhBWq68kU,neutral
1394,YouTube Echo Sessions 31 - Asheville Busking Legends - Fly By Night Rounders - Whole Set par Iam AVL (durée: 52:49) - Vue(s): 539487,neutral
1397,Et la chanson 3mo boy c'est de toi?,neutral
1398,Tu est mariée,neutral
1407,m oi j aime brune yeux marrons lol,neutral
1408,Ppourquoi mamy,neutral
1411,et y'a 5 sons dedans,neutral
1413,"Haha ^^ Et tresser du plastique dans des trains, Davros ? :p",neutral
1420,c lair Davros,neutral
1421,as tu essayé pr voir lol,neutral
1426,"Guest57498 Je le sais pas moi même, c'est ce qui s'appelle le charisme... Sans doute",neutral
1428,"Forseti: Si c'est dans le train Des Pignes pour Gilette, ouai peut-être...",neutral
1429,mais le piano c'est un truc de dom,neutral
1436,mdr tu avais quel age et elle du coup,neutral
1438,mais elles durent toutes env 10 secondes...,neutral
1446,faut t accrocher P0ussiere2lune,neutral
1451,"LeRebelle: Je sais pas, c'était une post-doc, elle devait avoir 6 ans de plus que moi au grand max...",neutral
1454,diablotin Ben oui mais c'est toi qui a remis ça sur le tapis,neutral
1455,T'imagine tu pourrais faire des musiques de 30 secondes.,neutral
1458,une prof c facile 15 ans de plus lol,neutral
1463,Mamy quelle âge à tu,neutral
1466,"LeRebelle: Tu sais pas à la fac, les post-doc connais chargé de TD ?",neutral
1470,Guest57498 Un quart de siècle...,neutral
1471,oui mais en en étant militaire ma copine y etait,neutral
1476,. https://www.youtube.com/watch?v=Gj_CLgkEsP0&t=242s,neutral
1477,YouTube Phobie - Linestimable par †Linestimable† (durée: 7:06) - Vue(s): 31,neutral
1486,ok jregarde attend,neutral
1488,https://www.youtube.com/watch?v=ZlGhBWq68kU,neutral
1489,YouTube Echo Sessions 31 - Asheville Busking Legends - Fly By Night Rounders - Whole Set par Iam AVL (durée: 52:49) - Vue(s): 539493,neutral
1493,Koharu:  bah après tu peux être musicien sans forcément enregistrer ce que tu fais.,neutral
1496,mais mon parcours a fait que,neutral
1498,tu bricoles quoi aachik|oqp ?,neutral
1499,j'allais demander si la fille c'était ta meuf,neutral
1500,Mamy si gravé,neutral
1506," ℹ️ [ INFO Chaat.fr ] ℹ️ : Tapez !radio pour avoir les liens de vos DJ préférés ♫♬♪, ou Activez le player en bas de page sur les boutons: ▶│┄ ᴧ",neutral
1511,à faut faire attention Mamy,neutral
1517,!plouf Candice,neutral
1520,tsebe rajal anti ya tehane?choiufe mertek ya rkhisse o inale dine waldik new-man ya tehane nektha ou nzide nikha ca te va?,neutral
1527,c'est important de s'auto rafraîchir Candice :3,neutral
1528,c une femelle lol diablotin,neutral
1529,1-1 / 4-2,neutral
1534,"alors que les moustiques sont attirés par l odeur des corps et le gaz carbonique, d apres les études la lumiére n'a aucun influence",neutral
1536,"on est déjà en juillet c'est fou quand même, il me faut à tout prix un milk shake maintenant o:",neutral
1537,hakunamatata:  ah oupss excuse moi,neutral
1542,et le rien en même temps lol,neutral
1543,"Le délire de Dieu , un jour il donne et un jour il enlève",neutral
1549,mansgplus,neutral
1550,"killbill: dis, XD pour éviter que je quitte connement tout le tchat la prochaine fois, c'est quoi la commande de quit d'un salon stp ?",neutral
1553,!cafe salon,neutral
1554,"diablotin offre une bonne tasse de _C_] _a_] _f_] _é_] toute chaude à salon >> Un peu de lait, du sucre ? ",neutral
1556,alt+F4.,neutral
1561,Little_Ch33ky tu cliques sur la croix du salon dans la liste à gauche ou tu fais /part #salon,neutral
1565,pour quitter Little_Ch33ky c'est f5,neutral
1568,"on a perdu Mamy, elle a dut refaire un somme dans son canapé",neutral
1570,Le destin= future = céleste=mystère = coinseda ce,neutral
1571,Mamy: On verra et le poster tu crois qu'il est okay avec ?,neutral
1580,la croix noir de l'étiquette du salon,neutral
1582,le blond?,neutral
1597,ca vous dis une devinette?,neutral
1600,Heyyy qui pv,neutral
1611,diablotin en même temps j'ai fait un somme il y a pas longtemps,neutral
1614,si quelqu'un ressemble a magnum hummm,neutral
1615,Ce lui qui a pris l'âme ou va ton âme,neutral
