sequence,label
moi aussi,positive
diablotin sinon des fois on ne pense pas à une personne âgée mais à une maman...,negative
bonsoir Insomnie et Sarah38,positive
bonjour les Ours,positive
diablotin:  je suis au boulot aussi non mais,negative
Salamo 😶,positive
Bonjour xavier10-,positive
Ah ouais ok,positive
C'est quand même nul,negative
Adage: ahh c vrai 👌🏻👌🏻👌🏻👌🏻,positive
et non Christian n est plus la,negative
"ah ok inno, merci",positive
speedd hamdoullah,neutral
bjr celine ,positive
"loukane kane  sympa,,il  dit pas supercaca",negative
jo3t,neutral
Bsr mai,positive
la sieste de l apres midi ça Mamy :),positive
Dial sympa ?,positive
ouf un poli,positive
. https://www.youtube.com/watch?v=wXAQJ9-RQeA,neutral
adage ad3ili,neutral
il est plus facile de gouverner des gens dépendants que des gens réveillés,negative
Halllo anya,neutral
Bsr marocainerespet,positive
Salamon: donne ton pseudo pour voir,neutral
Belkacem|dz balance un seau d'eau froide sur speedd. Ca va te calmer je pense ;) ,negative
bonne soiree DialoguerSimplement bisousss,positive
Inno ca va ?,neutral
Coucou poussiere2lune,positive
c est pas plus bête de courir après un ballon que de courir après une balle au tennis,neutral
"bakii, t'es à fond dans quoi?",neutral
" ℹ️ [ INFO Chaat.fr ] ℹ️ : Ici c'est un lieu gratuit [̲̅€̲̅(̲̅0̲̅)̲̅€̲̅] de discussion, de rencontres amicales 웃 유, pour passer un moment convivial et chaleureux ( ^◡^)(^◡^ )! Alors soyez poli, tolérant et respectueux. Merci et Bon Tchat ❗ ٩(●̮̃•)۶",positive
crée,neutral
Bonjour à tous ! qui du 83 ?,positive
" ℹ️ [ INFO Chaat.fr ] ℹ️ :Facebook® Pour suivre l'actualité du TChat, https://www.facebook.com/chaatfr ✌",neutral
me suis jamais fait vomir,negative
bonne nuit Elolo,positive
Ah non je ressemble  pas à barbie lol hophop,negative
fais gris à paris,negative
nasia:  oui,positive
je me croirais dans soleil vert parfois.,positive
Quelqu'un du val d'oise ?,neutral
"Femme actuelle recommande les régimes et les mini-jupes, ils disent vrai.",neutral
et ce sera pas la peine de vous mettre en grève,negative
!coeur ChoupetteNoPV,positive
si c'est la tuberculose je peux rien faire si c'est une grippe ca va je me soigne seule Tramontane,negative
"Non , il a juste ses propres avis",negative
Heureusement quon a la sécu,positive
!calin,positive
en tout cas tant mieux,positive
"fauttch"" de couillons, ça va finir mal",negative
as tu essayé pr voir lol,neutral
alors là j'y connais rien H-Lamberty,negative
oui c'est gratuit pour poster etc c'est super,positive
!ange DialoguerSimplement,neutral
Little_Ch33ky,neutral
Bonsoir grosminet,positive
ani roht,neutral
:p *,positive
Ayah|OnAir:  bonne amim,positive
Hello,positive
Louisee:  re bises,positive
pas a moi,negative
perlea: nn trop de tache a fair reduit ma vitesse mais en gros je devien cv lol,negative
Chacal: CV b1,neutral
ca la chatouille pas,negative
Toto akhtina m'en soug Algérien,neutral
Cool choupettenopv,positive
il lui faut vite un mec,negative
en pleine forme,positive
fille unique,negative
na3tik site te3 billard mlih ?,neutral 
tous les pauvres nesont pas des profiteurs du systeme,neutral
Thorman fait un énorme Kiiiiisss à Tramontane,positive
salut les filles,positive
Moi aussi Koharu envoie moi en pv je te dirais si c'est à gerber.,negative
baloo|fb: une voyance blk Arabica hhh,positive
Flute moi qui comptais mettre en vente une vieille roue 😕,negative
et c'est nous qui trinquons,negative
Adage not toi choqué puisque c'est ton boulots,negative
😁 c est ça qui m inquiète justement speedd,negative
est ce que nanala est là,neutral
G500pseudos:  mdrr,positive
"Tramontane, à argeles tu veux visité quoi ? ",neutral
voilà cible éliminée,negative
Salamo comme ta photo,neutral
donc ne fait pas de généralité de ton cas,negative
Hello le salon :),positive
Speedd traduis !,neutral
grrr je me fais harceler par un moustique,negative
coucou nanasse,positive
LeRebelle:  bonne nuit à aussi,positive
fais toi désirer un peu,neutral
Hhhhh,positive
Speedd lool,neutral
Au pire des cas les italiens perdront contre les anglais,negative
!kiss spring,positive 
Elinea ta quitté? 🤔,negative
bjsre,positive
Moi c est le but des espagnols qui se fait désirer,neutral
Hé hé oui faustt,positive
Je sors et vous laisse rire de ce qui n'est pas drôle,negative
Anya: ghyr la fyha draham,neutral
L'est contente Rachel de la dédi ? :s,neutral
Labrune,neutral
!calin,positive
"C est impressionnant il est 10h passer les pseudo Fake sont de sortie, peuvent pas se lever comme tout le monde a 6h",negative
Bsr chaouki,positive
et mon tel franchement c'est bien cher pour ce que c'est,negative
carpediem1:  toujours et toi?,positive
c koi bom bom,neutral
"DialoguerSimplement lance de la poussière d'étoile tout autour de new-man ';`*^',*;~`;.,*`.`*~;*~`;,.'*`.;*``;.^.*`~..;`*.^;.,*`;~..*;`~*.,:*`** parce-que TU es vraiment SPÉCIAL ! ",positive
Khalih yahdar adage lol,neutral
Coucou carpediem1,positive
basseme:  hhhhhhhhhhhhhhhhhhhhhh,neutral
bonne nuit Maude2b,positive
j'ouvre pas ma bouche pour ignorer,neutral
!ignore Jessica,negative
"Tramontane, après faut dire y'a les beaux jours les gens profite à fond ",positive
Salut,positive
bonsoir Pilou,positive 
Manell93 : mdrrr salam wach raki xD,positive
 Bonsoir  DjokAliSaurus,positive
"Salamon: c pas la fi  n  du monde,,ten trouveras dautres",neutral
oulach,neutral
viva espana,positive
Unknown j'ai que 46 millions pr l'instant :),positive
Arabica: lala habsy hhhhhhh,positive
ouii,positive
toto: hhhh,neutral
Cc elina,neutral
je refuse de payer des médocs donc pas d'auto médication,negative
Chiasse et pisse au menu,negative
y mdit met de la creme,neutral
Chaouki cva hbibi,positive
Le_Seigneur_Des_Tomb avoue le mec sur ma pp c'esst un bg,positive
c les filles qui m ont appris,neutral
pipoune: repose toi bien rire !,positive
Arabica:  arete avec ton sceau,negative
Moi j'aime sentiments,positive
Viens dans mon pv immediatement lulu,negative
omg encore,neutral
Meme les vaccin je trouve que ça sert à rien,negative
nan mais au moins c dit eura,positive 
Beuno4 cherir,neutral
Même pas chaouki,negative
"Forseti: Tu as bien du courage ,mais je préfère que tu t'occupes de ce qu'il ne va pas",negative
j'ai dit que tu avais raison de te faire plaisir Tess_,positive
Redol bsr arrêtes de dire des bêtises,negative
Ayah|OnAir mouahhh mouahhh toujours oui a la marocco,positive
perlea: hmdlh merci a toi alor koi de 9 lol,positive
Perlea oui et toi mon amie,positive
  mdr,positive
bin 5 f chambra,neutral
DialoguerSimplement embrasse tendrement new-man jusqu'à ne plus avoir de bouche.(Ɔ ˘⌣˘)♥(˘⌣˘ C),positive
grave,neutral
bonsoir Izzy,positive
speedd:  ahla sadiki samehni Arabica ma khalet fya 39al,neutral
Salamo juste illusion,negative
eurasienne|vivaitalia: merci a toi jesper qu litalie von gagner ,positive
il ou elle envoi des liens douteux en pv,negative
bonne nuit et bisous romantique,positive
speedd: Yhtiramati oustath !! lol,neutral
new-man désolé,positive
diablotin:  ah bon? pourtant je trouvais ça bien moi,positive
speedd: Aures,neutral
mais début juin 2 jours par ci par là,neutral
!bjr KnuX,positive
bueno4: hhj,neutral
DeLuGe:  oui et toi?,positive
jai un coup dans l'ail,neutral
je vais postuler pour un poste comme commentateur sportif,neutral
انا مسلم,neutral
Mdrrr,positive
Miam-miam,positive
hectooooorrrrrrrr ,neutral
!seen moscoo,neutral
bonne nuit lebelle,positive
tu connais la chanson speedd ?,neutral
Bon ben dommage on a perdu Cyndi,negative
@Nomade Plutôt des Yvelines actuellement c'est la guerre dans le ciel ^^',negative
Lol wallas,negative
cui cui,positive
" ℹ️ [ INFO Chaat.fr ] ℹ️ : Ce TChat étant Francophone, nous vous invitons à écrire de façon à ce que vous soyez compris par TOUS. Le language SMS n'est pas toléré... ba ué c kom sa dsl. Tout abus après ce message sera puni sans préavis ! (ง'̀-'́)ง(/❛o❛)/",neutral
قاع المفقودين,neutral
"Davros ah non ça c'est pas de mon fait, c'est toi qui veut absolument me le refourguer",negative
Coucou carpediem1,positive
Pipoune courage ça va  allez je le souhaite,positive
hed generation   yechro pizza,neutral
Bonsoir Rubis,positive 
c est tout ce qu il y a autour maintenant,negative
dici samedii samedii tu comprendra lool,positive
ca fait 4 jours ke je me prend des orages sur la tronche en camion pas a par ca la vie est belle,negative
kAyzO: pq donc? on peut pas parler de fringues?,negative
Je c plu,negative
butterfly|Radio-BamaKo|OnAir fait un énorme Kiiiiisss à Annalisa86,positive 
Pourquoi l'avz-vs aimé choupettenopv ;),positive
YouTube IC3PEAK - Плак-Плак par IC3PEAK (durée: 3:21) - Vue(s): 31488203,neutral
nanasse XD,positive
C'est un  proverbe indien Adage  de la réserve indienne de Québec,neutral
"barth, je suis bcp moin présent aussi lol le soleil et le boulot lac restau ",neutral
" ℹ️ [ INFO Chaat.fr ] ℹ️ : Pour tout signalement(¬_¬) , n'hésitez pas à remplir le formulaire ✉ ✍ ➤ https://support.chaat.fr/signalement",neutral
nasia: 😘😘😘😘♥,positive
Forza Italia,positive
bien merci et toi Arabica ?,positive 
HamsterJovial roule une bonne pelle à choups1,positive
faire connaissance avec des gens sans arrière penser amical,neutral
dit stp,neutral
a plus,positive
GIGAMYA en PV,neutral
Hhhhhhh,positive
maisje vous dis que les italiens vont gagner l euro,positive
On va parlé de quoi MTN,neutral
En plus si t'es avec quelqu'un tu peux passer des bonnes soirées à faire des musiques.,positive
Hamdouleh et toi dybala,positive
bonsoir pat-a-trac,positive
Coucou Shannon :),positive
a bientot,positive
Heyy tout le monde !,positive
oui kAyzO,positive
!calin,positive
vitaa1: zidy plouf,negative
coucou oOxOo ^^,positive
allo,neutral
"Tramontane, je viens des fois vers 15h 16h quand je bosses du matin ",neutral
dieudonné,negative
XENOPHANE laisse le tranquille stp,negative
vitaa1: je voulais rendre service à salamon,positive
col gate,neutral
moi c'est carte noire,neutral
tebteb,neutral
Retard,neutral
toto: c bn rbeht 3omra chakhsayn khyar chkon tedi maak,neutral
c'est chelou Vladcarstein,negative
tzawjet maa un riche,neutral
mais The_Swing ?,neutral
TiteSeve >> ton canapé n'est pas d'accord,negative
je retourne à mes occupations,neutral
Déjà que moi j'en ai trop dire et que je m'en bouffe les doigts,negative
Argelino1 dsl alors merci comment ça va kirak,neutral
Bonsoir,positive
YouTube ZAYN - Dusk Till Dawn (Official Video) ft. Sia par ZaynVEVO (durée: 5:38) - Vue(s): 1656881556,neutral
مع السلامة,neutral
ah oui et cadaques encore plus,neutral
awah on sait se qu in fait ma tkhafch speedd ..yak sah Unknown son argent rih ma y 9issouch,neutral
sans triche :),neutral
bereh samedii,neutral
et barbidule,neutral
!love new-man,positive
TiteSeve >> fait collection de canapés ??,neutral
on les entends plus la mdr,negative
la météo aussi,neutral
crépuscule oui tu as fait le mott,negative
feriel aahln bik wa sahlen,positive
pour l instant je n ai pas encore gagné mon pari hannibal-smith76|venere,neutral
Yo bakii,positive
bonsoir bisou Malicia_,positive
"Où ça, Desesperance ?! :o",neutral
 new-man prend ChoupetteNoPV dans ses bras et lui fait un énorme calin ❤❤❤,positive
Slt Candice,positive
Salut 😁😁,positive
Popeye mdrr,positive
nanasse > t'as pas répondu à la question de LeSauvage|Absent,negative
Très intéressant.,positive
Speedd oui la situation n'est pas claire un confinement est probable !,negative
Bonjour thorman.  Désolée j'arrive pas à t'envoyer plus,positive
YouTube Saad Lamjarred - LM3ALLEM (Exclusive Music Video) |  (سعد لمجرد - لمعلم (فيديو كليب حصري par Saad Lamjarred | سعد لمجرد (durée: 4:15) - Vue(s): 934150520,neutral
re ici :),positive
ba une chose est sure tu ne me donnes pas envie de postuler,negative
GCDS Trop mure sûrement...,negative
et merci pour tout,positive
Bonne soirée à vous,positive
Unknown: hhh,positive
On m'imagine jamais comme ça.,negative
oui aussi $,positive
<3 ma killbil,positive
D'ailleurs lol,positive
Ow :$,positive 
Lolotte44: cc toi,positive
Merci au DJ did29 d'avoir fait cette animation Radio ! ♫♪♩,positive
Imen: charika,neutral
!Seen quipourrp,neutral
"*TRAVAIL* Avec le concours d'Uranus, vous réussirez à satisfaire une ambition légitime. Mais ne vous vantez pas trop haut de votre succès, pour ne pas éveiller les jalousies et les rivalités.",positive
Salam,positive
Ah oui  tramontane,positive
Babycrew: cv frere,positive
Tramontane,neutral
Samedii 3lech baya3,neutral
"Little_Ch33ky: non, on a encore de la marge",negative
perlea: hhh devine,neutral
"Chaat.fr - n°348261  Une lessive, une ! Aujourd'hui j'ai acheté un kit anti-moustique : une poudre les attirant, à verser dans un tube recouvert de colle. Mon mari a renversé la poudre sur nos draps en voulant monter le kit. VDM ",negative
oui hannibal-smith76|venere,negative
insomnie dans tes reves,negative
" ℹ️ [ INFO Chaat.fr ] ℹ️ : Pour tout signalement(¬_¬) , n'hésitez pas à remplir le formulaire ✉ ✍ ➤ https://support.chaat.fr/signalement",neutral
Comme ca voilà,neutral
speedd: Surtout du coté des oures rebi ikoun m3akoum !!,neutral
je parie sur xavier,positive
Oui tess,positive
salut,positive
bjr Makeuo21,positive
samedi soir finale des 12 coups de midi,neutral
tssssssss looping n importe quoi,negative
faut pas sortir de la cuisine de jupitaire comme disait coluche que çà va pas durer longtemps comme çà,negative
hello kayzo,positive
une grande cuisinière,neutral
bonjour,positive
miam,positive
au lieu de prendre soin d'autre choses Ayah|OnAir mdr,neutral
mdrr,positive
rien me resiste,positive
coucou speedd bisous bien merci et toi,positive
perlea:  hhhhhhhhhhhhhhh,positive
Bonjour,positive
"ChoupetteNoPV prend new-man dans ses bras, et lui fait un super calin <3 C'est ça l'amour ♥(Ɔ ˘⌣˘)˘⌣˘ C)♥",positive
vitaa1 tu es attendue,neutral
connnnnnnnnnnnnn ard,negative
Il semblerait que nanasse s'offre une bonne pause clope bien meritée (c'est pas bien de fumer),neutral
ah saha,neutral
speedbird: im good thank for asking merci à toi frr,positive
bonsoir les arrivantes,positive
Issalmk unknown :),positive
Venez discuter les mecs,neutral
لذلك فإن أرابيكا هي رسالة مشفرة معها. الرسومات جيدة. افعلها,neutral
"maintenant ca va etre de ma faute, pfff Mamy lol",negative
perlea: de r1,neutral
"un truc étrange, je suis allergique au foot",negative
"Nan nan bien sur LeRebelle mais bon ,faire des comparaison",negative
bonjour Xavier10-,positive
perlea: bnsr cv ,positive
bonjour calma72,positive
Mdrrr chipie,positive
Midnight > je ne me souviens pas avoir vu batatadz.,negative
Non !,negative
"Hector-78, hectoooooooooooooooooooor comme dans TROIE avec brad pitt quand il crit derriere les murailles ",negative
nailaa cc cv,positive
esperons aussi speedd,positive
Nina2: salam,positive
bjr tàuro,positive
Bjr nanasse,positive
bonne nuit brune,positive
bsr pomponette,positive
et tu charges ta foto,neutral
pis c'est chiant d'amener au recyclage les appareils electronique H-Lamberty,negative
c'est le far ouest à cette heure là,negative
يارجال العلم سيفكم,positive
grominet01: je ne sais pas je me suis pas renseignée sur le sujet mais c'est possible vu les changements climatiques,negative
coucou,positive
"H-Lamberty: un rhume traité dure une semaine, un rhume non traité dure sept jours lol",negative
😍~ https://youtu.be/09R8_2nJtjg,positive
salama chacal,negative
Ou nous,neutral
"Caramelo, ça dépend faut déjà crée quelque affinité en salon avant de vouloir toqué dans la maison des gens :d ",neutral
dans l'ail ou l'oignon ?,neutral
Ah la brune on va ou alors pour ce camer lol,negative
Killbill mais en vrai je me suis tromper j ai confondu avec le Portugal vu que je supporte Christian Ronaldo autant pour moi,negative
Samedii arbat rohak brohak,neutral
"Plus le temps passe, plus je vous et j entend de choses et plus je le dis que l être humain est vouer a s auto-detruire avant la fin de la planète terre",negative
Arffff le e désolé,positive
Bonsoir à toutes et,positive
لابد,neutral
pardon Cindys-o-u-m-i-s-e tu es enchainée?,negative
elle est de chez ford,neutral
Salamo et puis mdr,neutral
Je trouve que le mariage ca sert à rien,negative
 new-man prend ChoupetteNoPV dans ses bras et lui fait un énorme calin ❤❤❤,positive
boiuhhh speedd ana 3ajouza andi 35 ans,negative
donc oui,positive
"elinea, On ta vu tkp xD ",positive
sueles les femelles piquent mdr,negative
YouTube Indila - Dernière Danse (Clip Officiel) par IndilaVEVO (durée: 3:35) - Vue(s): 761343045,neutral
oui éventuellement un balsamique,neutral
Dacool ahhh Mdrr,positive
channel aimerait bien se faire border par accueil car c'est l'heure d'aller au dodo ^^ ! Bonne nuit <3 ,neutral
Mamy:  courage pour retrouver le sommeil car là tu vas etre fouttue un moment lol,negative
mdrr,positive
Bsr Louise re CV,positive
ah bon je me suis laisser dire que tu avait du poil au pied mdrr The_Swing,negative
Je trouve 7 réponses à votre demande. Voici les 5 plus récentes (dans l'ordre): DER Louloute Mika69300 Imad QueDesTatoo. DER (Chaat@67290949.53637A01.AC221386.IP) a été vu pour la dernière fois joindre #adultes il y a 4 minutes. DER est maintenant sur #adultes.,neutral
Lueur:  https://scontent.fczl2-1.fna.fbcdn.net/v/t1.6435-9/209655739_257923909466385_761802022097760424_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8bfeb9&_nc_ohc=oOE4jm6728kAX-hpoDo&_nc_ht=scontent.fczl2-1.fna&oh=9fd76cbce0a2d5e39a6e1df8c7b55e2c&oe=60E98958,neutral
"Tramontane, ça se comprend (: ",negative
Je vous écris depuis ma machine a écrire,neutral
bonsoir :),positive
eurasienne|vivaitalia: saleté de virus !! lol,negative
baloo|fb:  ouii avec tes amies d enfance de la bas aussi😜😜😂😂😂,positive
Tess_: Pas forcément,negative
bueno4: hhh bayna ,neutral
imen habbit nsaydek,positive
coucou Reglisse__ bisousssssssss,positive
"Cynthia Ann Stephanie Lauper (née le 22 juin 1953)1, dite Cyndi, est une chanteuse, compositrice, actrice et activiste américaine",neutral
Salamon introuvable,positive
Salut les,positive
bonjour lydie,positive
bonjour castiel et achoum,positive
"Salamo proverbe indien ou de n importe pays le principe unique , lazam savoir notre dieu",neutral
moi un violant orage chipie,negative
eurasienne|vivaitalia: cc bisou a toi cv b1,positive
par contre j'aime bien les photos.,positive
 t'es cool ce soir je vais réviser ma position a ton sujet,positive
Ça va merci,positive
Midnight > je ne me souviens pas avoir vu charmante.,neutral
Mars07: vois avec nazou,neutral
chipie avec de l'huile ❝Revitalise❞ se lance dans un MMMaaaSSaaaGGGeee sur The_Swing pour favoriser la détente et le bien-être ! ça fait du BiiiiiieN ! (Ö‿Ö),positive
hmdlh ma belle nasia 😍😘💋🌻,positive
!fouet Terre-Hermes,negative
ails? Mdr,neutral
fait pas comme les multi nationnal :o ,negative
Belkacem|dz: comment vas-tu ?,positive
c lair Davros,neutral
hannibal-smith76|venere si la finale c est italie angleterre ça va être chaud mdrr,negative
assidi  yahedro ala tawhid  o yenssaw al ma3assi,neutral
bonne nuit TiteSeve,positive
Ayah|OnAir: tu souffre :/,negative
mais mélanger mariage et amour Vladcarstein faut le faire,positive
"Salamo moi la maîtresse,  les gens viennent chez moi , pas moi qui arrive",neutral
"Raphry, Tu serais pas le seul je penses (: ",negative
bonjour Alice42,positive
ah ok,positive
Bonjour à tous,positive
eurasienne|vivaitalia fait un énorme Kiiiiisss à MvsConeX,positive
new-man: lol,positive
Heyyy qui pv,neutral
الله اكبر,neutral
bisous tess,positive
salut jehane,positive
°º o o º° Envie d'écouter la RaDiO ? clique ici ==> http://www.radiostarmaroc.com/  °º o o º°,neutral
Pupuce en,positive
tal3ab kimiya,neutral 
Hak rak mlih sede9ni lol,positive
Ayah|OnAir et vive le Maroc,positive
Quoi de neuf,positive
Insomnie bsrrrr,negative
quest ce quil fait le drapeau algerien a wembly ?,negative
Imen mech sadaka non,negative
pk  wach sraa      vitaa1 ?,neutral
petch tu as la pêche toi,neutral
a plus,positive
en fait moi je m en fiche qui gagne c est juste pour gagner mon pari mdrr,negative
ألي يرميك بالفول رميه بقشرو,neutral 
perlea: lol pas grv la prochain foi c ton tour ok,neutral
Speed salam c va hmdou wenta mlher,neutral
Inno ahahahahah,positive
Ah 11h les chauds lapins se réveille,neutral
Adage ???,neutral
Andi projet mlih,neutral
wahrani31:  nendeb,neutral
Merci Tramontane,positive
Salam canari,positive
Guest32725 c étais quoi ton pseudo d avant.,neutral
rire!,positive
Tess_ offre à  Desesperance une bonne part de gateau !  ≧✯◡✯≦✌,positive
"Crepuscule, donc je vois pas trop ou est la raison dans tout ça ;) si ce n'est une divergence de point de vue ",negative
kiss sur ta fesse droite Kipsi,positive
non j'y vis,positive
les fournisseur on gonfler leurs prix ,negative
"YouTube Cheb Khaled... Ghadara ""Vidéo Montage"" 😍😘😘الشاب خالد.. فدارت فيديو مونتاج par Jazairi Contre Chekiil (durée: 5:03) - Vue(s): 4338",positive
Bonsoir a toutes et a tous,positive
!bye,positive
mais ehuuuuuuuuuuu baloo|fb :o,neutral
Avec moi tu vas pas être déçu en ortho,positive
"LeRebelle: Tu sais pas à la fac, les post-doc connais chargé de TD ?",neutral
cc gros câlin karantez bisous,positive
chrebti dwak adage ?,neutral
perlea: amched raghessk amghefen  brosse tes cheveux,neutral
Wafia bjr,positive
"Vladcarstein, y'a pas d'heure pour escroquer les gens :d à coup de west.ern U.nion lol ",neutral
nasia:  pardon,positive
new-man: 123 viva new-man ,neutral
hello yar,positive
je suis contre kAyzO,negative
on s'amuse on pleure on rit,positive
collioure faut des moyens çà sélectionne,neutral
Bah jarrive pas a le mettre,neutral
C'est une très jeune mamy,positive
Venom  a été enregistré mdr  bizzar a chaque fois je reviens avec se pseudo   il se fait enregistré  huhu,negative
Bon re louisee cava tjr,positive
vitaa1: ya wedi desactv hhh,neutral
je sais bien tizi,neutral
dsl taht m korssi,neutral
perlea mme deux lol,neutral
oui xlormilena,positive
tu m y emmènes ? Le_Seigneur_Des_Tombes,neutral
Loane mdr keskia,neutral
Guest28492:  tu as oublié ton mot de passe?,neutral
perlea: nebdaw chwi lol,positive
Bsr dolcevitaa,positive
hhhhhhhhhhhhh,positive
ah ah on verra hannibal-smith76|venere,neutral
bisousssss bonne nuit hannibal-smith76|venere,positive
çà se drogue mais discretement,negative
cv les amis,positive
merci,positive
Il semblerait que nanasse s'offre une bonne pause clope bien meritée (c'est pas bien de fumer),negative
Tjr la,neutral
c'est sur que si tu as un mouchard sur ton ordi tu as interet à avoir du rendement,negative
Coucou grominet01,positive
du coup le match est pas fini ?,neutral
!seen sucre,neutral
Tess_: Je me disais aussi.. merci,neutral
speedd:  une sorcière hhhh Arabica,positive
j'ai pas compris la,negative
New-man hhhhhhhhhhh dok n3almha tafkir jaza2iri 😂,neutral
😂😂😂😂 speedd fiha fiha,positive
mdrrrrrrrr baloo|fb de sénégal 😜😂😂😂,neutral
 Eddie- prend chipie dans ses bras et lui fait un énorme calin ❤❤❤,positive
ca va pas etre calme mac,negative
!apero,neutral
taff a fond ca ce passe trankil moin present en ce moment kAyzO ca gere,negative
on verra alors hannibal-smith76|venere,neutral
plus les fins de mois difficile,negative
re flamencita,positive
ca marche ce que tu as fait pourtant aala pour arabica,positive
un massge du pied de mon felin mdrrrrrrr,positive
T'imagine tu pourrais faire des musiques de 30 secondes.,neutral
Je le dit en bossant aussi biensûr :p ,positive
Salut Chipie,positive
mon ex il avait toujours des preservatifs sur lui je l'encourageais,positive
Il ment à tout le monde ici,negative
babycrew comme il est laid ton pseudo,negative
Davros : je sais que ça existe sans savoir de quoi il s'agit.,neutral
Ou Mounira  lol,positive
dans la cuisine,neutral
Tsss.,negative
"Terre-Hermess, courgette ça ira",neutral
Bonsoir,positive
Lol adage,neutral
  INFO   Rachel choups1 et HamsterJovial|Otaf : Vous avez été ignoré ou Blacklisté par  Kipsi,negative
ne mettons pas la charrue avant les boeufs,negative
Mamy: pas pour moi dsl mais bonne chance lol,positive
Ahh bah j'en étais sur kAyzO,positive
Moderatrice_des_toilettes: prk tu t'entete a sa : s sa te fat du bien ?,neutral
Elle va Forseti ?,neutral
le boulot est fait dans tous les cas (: ,negative
et ta konerie,negative
oui ca va Damien33 merci,positive
Slm nasia vient au PV,neutral
MvsConeX fait un énorme Kiiiiisss à eurasienne|vivaitalia,positive
coucou ennour bisouus,positive
!kiss eurasienne|vivaitalia,positive
Salamo  tu es meme pas sait lire la langue arabe,negative
!seen arabica,neutral
Inno mais depusi que je l ai essaye j ai un souvis  avec mon micro,negative
ahawka,neutral
bonsoir,positive
bonne soiree,positive
pfff,neutral
C jolie c est vrai,positive
Yaaaa 3likom El galmaaaaa,neutral
killbill: c est bien l espoir mais ca garantit rien,neutral
hhhhhh,positive
calma72: on fait connaissance? mais interdit de lire dans mes pensées,neutral
elle a la feu au cul la marocaine,negative
yesssssssssssssss,positive
si c'est plus grave le diagnostic faut orienter lapersonne vers les soins appropriés je peux pas intervenir au delà du je guerris en 5 jours,negative
bonne soirée les gens,positive
vu les dissonances nominatifs,negative
bonsoir Mamy,positive
"delphine (Chaat@6C7FECBB.8EB2A170.DABA5AE9.IP) a été vu pour la dernière fois quitter #Accueil il y a 1 heure, 1 minute (Bon retour sur www.chaat.fr).",negative
Warani31 Salam.labess,positive
