,sequence,label
460,jusque la je t ai pas vu en faire c un fait,negative
462,Romantiqua:   Salut loll    pkoi    des betises  on  sest sensé  de  mourir   tous unjour,negative
463,Elolo: pq le mort?,negative
464,Doux dodo hannibal-smith76|venere,negative
469,J'y comprends rien lol,negative
476,La pauvre :(,negative
477,crépuscule oui tu as fait le mott,negative
478,"Comme on dit, l'hôpital qui se fout de la charité",negative
479,mort,negative
481,Elolo: je comprends pas mais tu as raison lol,negative
482,🥵🥵🥵🥵,negative
483,Tu répondais plus,negative
484,fais chier,negative
485,Oups,negative
487,du coup je suis parti dodo,negative
501,Oui Johnny lol PetitPierre|Happy-Days|On-AiR les han han mdrr,negative
503,les larbins,negative
504,bonsoir Insomnie,negative
509,Insomnie bonsoir,negative
512,"Chaat.fr - n°32174  Aujourd'hui, comme chaque matin, le réveil est assez difficile et je suis encore à moitié endormi. Je prends mon caleçon pour le mettre au panier à linge. Au lieu de ça, j'ai ouvert mes volets et l'ai lancé par la fenêtre. Il a atterri dans le jardin de ma voisine. VDM ",negative
513,Insomnie bsrrrr,negative
514,les larbins,negative
517,tu es  bien fêlé toi aussi Insomnie,negative
518,insomnie dans tes reves,negative
521,Oui très cher PetitPierre|Happy-Days|On-AiR ils avaient tuer beaucoup de touristes,negative
529,Non fais même froid ici,negative
532,Loana il fait étrangement frais,negative
541,ou pas,negative
548,Enissay:    Si seulement ça pouvait être vrai,negative
549,Owi *-* mais j'en ai plus chez moi :(,negative
550,donc pas de lait pour bibi :/ Homelander,negative
561,On a tous un grain en fait…,negative
562,non je ne crois pas,negative
588,BlackPuiiiissant > je ne me souviens pas avoir vu imaane.,negative
596,bonsoir Desesperance,negative
601,Maude2b|US-Route-66|OnAir:  merci      a  toi    on jamais écouté,negative
606,j'ai craqué pour des petits biscuits au citron genre cookies,negative
613,Insignifiante désespérance,negative
622,bon bah tir au but hannibal-smith76|venere,negative
624,"Mince, c'est la fin de l'animation Radio de Zeux, merci à toi ! ♫♪♩",negative
632,Killbill elle lache pas l affaire mdr,negative
637,jamais Babycrew,negative
640,dur de resiter Desesperance,negative
641,je suis tenace mdrr,negative
642,j'vais me tabasser la viande en pensant à toi,negative
644,Ça compte pas !!!!,negative
645,T'es grillée apparemment Elolo,negative
646,Merde lol,negative
647,lol non Elolo ;),negative
651,Candice pousse enissay dans la piscine pour s'en débarasser! PLOUF !!!  ._.·´¯(_..·´¯(_ t(>.<t)..·´¯(_..·´¯(.,negative
653,!cookie Desesperance,negative
656,"Mince, c'est la fin de l'animation Radio de Maude2b, merci à toi ! ♫♪♩",negative
658,j'ai pas compris la,negative
659,!cookies Desesperance,negative
660,C'est mort..,negative
663,a zut!,negative
666,Zzzzz,negative
667,!gateau Desesperance,negative
669,Zzzz,negative
674,"Chaat.fr - n°259590  Aujourd'hui, mon mari, aux toilettes pour la grosse commission, n'a plus de papier. Il me demande de lui ramener des mouchoirs en papier, ce que je fais. Quelques secondes après, je l'entends crier. C'était des mouchoirs à l'eucalyptus. VDM ",negative
683,et non Christian n est plus la,negative
685,dommage il était super fort,negative
696,Merci hannibal-smith76|venere,negative
697,quant à l actu je la zappe,negative
701,oui hannibal-smith76|venere,negative
702,"LeRebelle: Pas moi ,et certainement pas ce pédophile",negative
703,"casse moi tout la-dedans, je veux plus rien reconnaître",negative
704,ah ah hannibal-smith76|venere,negative
705,je ne crois pas en la presse Desesperance,negative
707,mince,negative
708,cela dit oui il me plaisait pas plus que ça,negative
717,la presse ment à tour de bras,negative
718,ah je conais pas,negative
721,Ca veut rien dire pleins de choses LeRebelle,negative
728,C'est un pédophile narcissique LeRebelle,negative
730,tres dur,negative
734,le reste je sais pas,negative
742,babycrew comme il est laid ton pseudo,negative
743,eurasienne|vivaitalia:  non serieux    tu ne dis rien   aux  deux  petsses  AbMo et  MacDeluxe  ?  t'as bien vu qu ils m ont provoquer  lol,negative
746,je m'y suis pas nteressee car je regarde pas les eimissions avec lui,negative
747,eurasienne|vivaitalia:   je prends  ça tres mal,negative
748,bah je suis passé pr un trafiquant d armes à une époque mdr,negative
749,babycrew tu devrais changer ton pseudo,negative
750,et de drogue,negative
756,_Malakloranaise:  parce que les journalistes subissent d'enormes pressions,negative
759,babycrew tu es la preuve évidente d'un manque de gout esthétique,negative
763,killbill non je crois pas,negative
764,XENOPHANE laisse le tranquille stp,negative
766,ils ne sont pas libres,negative
776,"Tess_: Ouai ,c'est aussi parce j'aime beaucoup toute les histoires de meurtre ,pédophile etc...",negative
777,Forza italia oupssss....je craque,negative
778,n empeche que Desesperance,negative
789,merde,negative
790,au bout d'un moment ca te met le moral a plat Desesperance,negative
791,Il devrait en faire une vidéo pour les plus fénéant.,negative
793,Elolo ca FAI un temps pas vue,negative
794,je parle pas de ça,negative
795,Non sur la pédophilie et le viol en général en france qui est un des sujets les plus tabous.,negative
796,hannibal-smith76|venere !!!!!!,negative
803,j ai jamais dit que je l aimais bien Desesperance,negative
808,"Nan nan bien sur LeRebelle mais bon ,faire des comparaison",negative
816,debbouze un assasin,negative
819,dieudonné,negative
829,o nen fini pas Desesperance,negative
832,"""j'attends les pleurs des italiens"" :3",negative
839,je crains le pire,negative
841,mdrr hannibal-smith76|venere,negative
844,ca doit etre terrible de perdre le gout,negative
848,pas encore Babycrew,negative
849,Tess_: Je peux en avoir aussi au passage ? j'gratte a tout les rateliers comme tu peux le voir...,negative
850,je parle meme pas de l'odorat,negative
851,ça sent pas bon pour moi mdr,negative
853,ce n est pas encore fait,negative
858,Tess_: Non !!!!!!!,negative
861,deux heures pour mettre un but mdr,negative
865,Tess_: Va te faire vomir je fini le reste....,negative
868,arrghhhh,negative
875,me suis jamais fait vomir,negative
876,les gens atteint du covid perdaient l'odorat,negative
885,que la france soit éliminée mdr,negative
886,on les entends plus la mdr,negative
888,plsu de klaxon rien mdr,negative
891,Adios paella,negative
902,"ya que quand on est malade comme un chien desesperance, que l'on vomit , en fait ca soulage",negative
903,hannibal-smith76|venere si la finale c est italie angleterre ça va être chaud mdrr,negative
904,Tess_: Pas forcément,negative
908,jsui tro vener italie ces gros pocs ont joué kom des bites et ils gagnent aux tirs au but : aucune justice,negative
911,Personne ne fera comme aimé Jacquet gagné une coupe du monde et l'euro d affiler chapeau  aimé Jacquet,negative
918,le foot c pr le peuple qui s ennuie c tout,negative
919,non Desesperance,negative
923,c pas du sport c un business,negative
925,Babycrew en 98 match truqué,negative
931,_Medecin_Ritale non du tout,negative
932,pas tous killbill,negative
933,mais osef ce n est pas pour ça que je regardais,negative
934,Triste ce genre de réaction...,negative
940,"un truc étrange, je suis allergique au foot",negative
947,L entraineur qui ma fait le plus rire c'est Domenech,negative
951,il n entraine plus rien Babycrew,negative
954,moyen illbill,negative
957,"Desesperance : elle est déçue, mais elle va quand même ! Et le Desesperance va aussi ?",negative
972,"Mince, c'est la fin de l'animation Radio de KarantezTener, merci à toi ! ♫♪♩",negative
974,Bonsoir ici Snif Espagne a perdu,negative
978,Bougieee: domage,negative
982,j ai une amie ici avec qui je me suis mal comporté elle va etre contente elle est italienne lol,negative
983,"fauttch"" de couillons, ça va finir mal",negative
985,"Forseti: Tu as bien du courage ,mais je préfère que tu t'occupes de ce qu'il ne va pas",negative
990,je crains le pire  j'ai peur lol,negative
992,"Oui il fait assez frais en ce moment Mamy, y a du vent mais on va vite voir roussir les fueilles et profiter de la mélancholie et de la lumière de l'automne.",negative
995,Staktt > je ne me souviens pas avoir vu c4mille.,negative
1000,on verra hannibal-smith76|venere,negative
1001,Je vous laisse ici trop de Pv cela me perturbe  mdrr,negative
1006,ne mettons pas la charrue avant les boeufs,negative
1011,c'est comme les courses de velo c tres tres dur,negative
1013,Ça falloir aller se coucher,negative
1015,au fait pour la merguez si tu savais la fabrication killbill tu en mangerais pas,negative
1016,Mon pv me a lâché,negative
1017,LeRebelle si on savait tout sur tout on ne mangerait plus rien,negative
1022,pour ca que j'en mange pas LeRebelle,negative
1026,"italiens ces gros porcs ont kasi rien foutu pendant 120mn et gagnent aux tirs aux but ,quelle injustice jsui ecoeuré dégouté .Pauvres espagnols qui meritaient a 90% de gagner",negative
1029,C'est  vrai c'est super dur de taper dans une balle pendant qu'un mec qui construit un immeuble et se casse le dos en touchant 1200 euros pariera son argent sur ce même foot.,negative
1030,Desesperance : ça ira mieux quand on m'aura filé mon emploi du temps :( J'en ai besoin pour connaître mon temps libre et chercher un taff à côté des études :c,negative
1034,Coconut a du nous faire un avc,negative
1041,Fo pas trop rêver killbill lol,negative
1043,des pvs comme une attaque de moustiques la pauvre lol,negative
1044,bojik tu peux néanmoins garder un langage correct stp,negative
1045,Il reste une marche...la plus haute,negative
1052,Il fait frisquet mais je met le ventilateur pour avoir davantage froid...,negative
1056,Non une fatalité sniffff,negative
1057,bonne nuit hannibal-smith76|venere tu as pas l'air content ce soir,negative
1058,Brrr brrr,negative
1064,impossible que l'italie gagne l'euro,negative
1067,Oliv (Chaat@7B2FAD6B.175FAF25.DC75B415.IP) a été vu pour la dernière fois quitter #Accueil il y a 37 minutes (Bon retour sur www.chaat.fr).,negative
1068,deja la ils sont en galere,negative
1074,Des rajeux les gens grave pfffff,negative
1078,Un peu comme tes remarques _Medecin_Ritale.,negative
1083,"Je comprend pourquoi ça ne parle pas de foot ici logiquement,c est 😒 😂",negative
1088,Seigneur chauve garde ta rage bac -2,negative
1091,le foot c'est vraiment trop nul,negative
1094,Mamy comme ça je peux grignoter un paquet de chips avec moitié moins de culpabilité,negative
1109,diablotin: mais c'est nul quand meme,negative
1111,Midnight > je ne me souviens pas avoir vu soumhard.,negative
1113,je ne dis pas le contraire Malicia_,negative
1116,Midnight > je ne me souviens pas avoir vu batatadz.,negative
1121,ce n est pas le sport en lui même qui est nul,negative
1122,"Marocaine (Chaat@F3BD8EA4.D208833B.FB9F4357.IP) a été vu pour la dernière fois quitter #Accueil il y a 20 heures, 52 minutes (Bon retour sur www.chaat.fr).",negative
1123,"C'est ca ton argument ? ""C'est nul"" Malicia_",negative
1126,c est tout ce qu il y a autour maintenant,negative
1129,Ce qui est bête par contre c'est l'argent que ça génère.,negative
1130,C'est quand même nul,negative
1133,mdrr LeRebelle oui c est fatigant,negative
1134,Candice attention je scintille ce soir ça va être difficile !,negative
1137,Seigneur chauve reste avec tes 1200/mois et passe ton chemin ..,negative
1139,en quoi le foot c'est nul,negative
1143,"va tenir 2 a courrir sur un stade, deja tient 10 min et on verra",negative
1144,"Candice plus sérieusement, quelle séductrice ? Haha :p",negative
1150,Crepuscule c'est vrai que mon pseudo est l'objet de beaucoup de fantasmes,negative
1158,"N'essaye pas d'être blessant _Medecin_Ritale, t'es pas dans un diné de famille avec papa maman.",negative
1162,Tain je m'endors déjà :(,negative
1165,Mais je sais pas où aller,negative
1170,Nikki32 >> tu le coupes et tu l'envoies,negative
1173,avec un joint,negative
1175,"Crepuscule ça fait un relou en moins, t'inquiète pas pour la chance",negative
1188,n empeche que j ai cramé mon pc grrrr,negative
1191,tu dors trop Gwilhom,negative
1198,ça fait bizarre les gens vont se coucher et moi je me suis réveiller il y a pas longtemps...,negative
1200,Tu es juste un peu décalée mamy lol,negative
1201,Ca fait un peu long la sieste.,negative
1208,LeRebelle pas vraiment je me suis assoupie accidentellement... Je lisais puis...,negative
1209,les medocs trop fprts ^pssobme mpm,negative
1212,ludivine poiron de agen et une michto,negative
1213,Mamy:  courage pour retrouver le sommeil car là tu vas etre fouttue un moment lol,negative
1214,Mamy:  sort un peu de chez toi se lever à cette heure ci c'est pas normal,negative
1215,Moi qui pensais innocemment que les gens âgés étaient réglés comme des horloges,negative
1221,diablotin ben oui... Et je supporte pas de rester éveillé la nuit en plus,negative
1227,ya trop de femmes qui parlent .,negative
1229,peut on amener quelques hommes pour équilibrer svp.,negative
1238,Moi aussi Koharu envoie moi en pv je te dirais si c'est à gerber.,negative
1239," ℹ️ [ INFO Chaat.fr ] ℹ️ : ⛔ STOP aux bagarres ❗ ⛔ Tout comportement négatif ou violent pourra être sanctionné par un Kick voir un Ban. Pour chaque minute où vous êtes en colère, vous perdez 60 secondes de bonheur. Ce TChat n'est pas un défouloir. Merci :)",negative
1245,Si mon tactile est en crise diablotin,negative
1247,"je demandais Candice, car je ne comprenais pas lol",negative
1256,"Candice : oui, mais le français me fait rager, c'était indépendant de ma volonté :(",negative
1259,on refera jamais pareil,negative
1276,ça s achéte mais ca doit pas etre facile lol,negative
1281,"LeRebelle le néant, j'existais pas...",negative
1290,"Candice : bah déjà la covid, normalement on aurait du passer des épreuves qui auraient été harmonisées au niveau des notes et notées par d'autres profs que notre actuelle (qui était, pardon de le dire, lamentable...). C'était pas prévu qu'on se prenne juste le contrôle continu. Puis soucis de santé pas détectés à l'époque donc pas soignés qui m'ont perturbée. Résultat, cette tache sur mon relevé.",negative
1294,"Forseti: Ecoute, si tu rages, j'ai le numéro du petit père-Noël Africain, le seul père-Noël des Africains, tu peux lui commander un cahier de coloriage, c'est une activité apaisante !",negative
1298,pas une vraie Mamy du coup,negative
1300,"Laissez-moi rager en paix, monsieur :(",negative
1305,ou alors congolaise mdr,negative
1306,moi je ne le savais pas lol,negative
1308,On joue pas dans la même catégorie je crois Koharu.,negative
1310,Bon niker vos mères,negative
1316,Le_Seigneur_Des_Tomb c'est un truc troll au cas où t'as pas compris,negative
1318,diablotin sinon des fois on ne pense pas à une personne âgée mais à une maman...,negative
1325,Quel est l'intérêt Koharu?,negative
1328,l'intérêt de quoi,negative
1333,"oula pas d'anglais avec moi Mamy, sinon je vais etre perdu lol",negative
1335,De troller soundcloud.,negative
1341,jai commencé a fumer a 14a,negative
1346,Non je fais de tout.,negative
1348,diablotin pour expliquer le pourquoi du comment... Mais au début moi même je comprenais pas,negative
1353,hin quelle copine troll,negative
1354,"Forseti: Non moi j'aime troller, draguer des filles pour les jeter, ah et surtout les trains et les robots !",negative
1360,pupuce: pas bien mais je serais qui pour juger lol,negative
1365,C'est pas l'humour qui les faits trembler?,negative
1367,mais c'est chasse gardée,negative
1375,"Forseti: Ah et j'oubliais, la drogue, les reptiliens de Signus B, et le professeur Tsukalossssssss.",negative
1379,On m'imagine jamais comme ça.,negative
1382,C'est plus facile de me voir en vieux débris.,negative
1384,les larbins,negative
1387,Mamy tu veux me épcho ?,negative
1391,Jtimaginais plutôt en brun ténébreux,negative
1392,"Lia (Chaat@E457468D.8D024006.4C4C32AA.IP) a été vu pour la dernière fois quitter #Accueil il y a 2 heures, 57 minutes (Bon retour sur www.chaat.fr).",negative
1402,"Koharu Je suis pas une séductrice pour rien, c'est Candice qui l'a dit",negative
1405,nan Le Seigneur des Tombes 3mo b0y mood c'est une playlist avec des sons d'ici,negative
1406,c'est pas moi,negative
1412,c'est pas des sons de moi,negative
1415,jsp comment ça s'affiche chez toi mais chez moi on comprend clairement que c'est pas de moi et que c'est une playlist avec les sons des autres que j'aime,negative
1417,"mais la seductrice, c est endormi comme une ptite vieille sur son fauteuil Mamy ll",negative
1418,"LeRebelle: Et moi je fantasmais sur ma prof d'anglais quand j'étais en Master, on a tout des trucs dans la vie...",negative
1422,Ce n est pas bien ces habitude,negative
1423,bonsoir les larbins,negative
1424,ouais mais c'est une playlist c'est pas mes sons,negative
1430,diablotin même les femmes comme moi ont des failles..,negative
1432,"mais chut Mamy, faut pas le dire, c est comme nous laisser croire que les femmes sont toutes des princesses mdrr",negative
1433,"LeRebelle: Essayé de quoi, d'inviter ma prof d'anglais oui, bien évidement, et j'ai pris un gros râteau...",negative
1442,oups glissage,negative
1443,parce qu'en fait jsuis tellement éclaté sa mère sur FL que jtrouve pas le bouton pour séparer les pistes ptdr,negative
1444,glissade,negative
1445,du coup ça fait 7 secondes ça me fulmine,negative
1452,diablotin:  les parois du salon sont glissantes,negative
1453,t uas du redouble du coup mdr Davros mdr,negative
1457,fallait pas jouer avec le liquide vaissele pour faire de la mousse P0ussiere2lune,negative
1459,"maintenant ca va etre de ma faute, pfff Mamy lol",negative
1464,je te laisserai tout nettoyer P0ussiere2lune,negative
1468,LeRebelle: T'as déjà mis les pieds dans une fac ?,negative
1475,Le_Seigneur_Des_Tomb j'ai postulé pour un truc de disquaire et j'savais pas quoi mettre dans la lettre de motiv du coup j'ai dit jsuis musicien jfais de la musique et tout j'ai peur qu'on me demande awé montre et jmontre ça,negative
1482,"Et bé, Mamya vachement redoublé",negative
1491,attend y'a un clip jvai die,negative
1492,diablotin:  je suis au boulot aussi non mais,negative
1497,"diablotin je sais pas si j'aurai dû le dire du coup, je vais rameuter toute une meute...",negative
1501,"Non la meuf c'est jodie foster, elle a fait son temps.",negative
1510,Beurk,negative
1515,répugnant leur ignominie,negative
1518,la nuit va etre longue jusqu'a demain matin,negative
1519,Candice pousse Candice dans la piscine pour s'en débarasser! PLOUF !!!  ._.·´¯(_..·´¯(_ t(>.<t)..·´¯(_..·´¯(.,negative
1522,"non,je dis bonne nuit a noun poussiere2plume",negative
1523,grrr je me fais harceler par un moustique,negative
1525,Bonsoiiiiiir,negative
1530,sueles les femelles piquent mdr,negative
1531,"diablotin: le seul animal envers qui j'ai une phobie,  je fais très attention chaque soir de bien fermé le store avant d'allumer la lumière",negative
1532,C était surtout une manœuvre d'esquive enissay lol,negative
1533,"Mamy: Si Allah te voyais, je suis pas certain qu'il serait content. :D",negative
1538,"Chaat.fr - n°33181  Aujourd'hui, j'emmène mon fils au bac à sable et fais tomber mon alliance dedans. Un petit garçon la ramasse, m'observe, murmure ""Mon précieuuuuux !"" et se barre en courant. VDM ",negative
1541,"Davros Il y a certainement pleins de choses qui le rendrait mécontent, on dit qu'il est miséricordieux je me fais pas trop de soucis pour le jugement dernier...",negative
1546,mais aie P0ussiere2lune|TaFF  pourquoi une telle violence envers ma personne ?,negative
1547,C'est pas interdit de parler de religion ici?,negative
1548,"Arrêtez avec dieu, libérez vous de ça.",negative
1559,diablotin:  mais parce que je suis diabolique,negative
1560,arrêté de parler comme ça sur dieu libérer votre pensé,negative
1563,je plains tes collegues P0ussiere2lune|TaFF,negative
1577,mansgplus: tu fais ça aux novices pas aux vieilles du net stp  xD,negative
1581,"moi je vais limité le café pour le resste e la nuit, ou je vais avoir mal à l estomac",negative
1584,"Davros ah non ça c'est pas de mon fait, c'est toi qui veut absolument me le refourguer",negative
1585,Ou le gros chômeur desco en jupe?,negative
1588,Un mauvais destin,negative
1589,Davros sache que je ne partage pas tes fantasmes douteux au sujet de cet homme... Douteux,negative
1594,vraiment les pires,negative
1598,""" le gros chômeur desco en jupe "" <- il est magnifique aussi hin tension",negative
1599,trop d'café ça peut faire mal au sternum,negative
1601,hakunamatata:  je crains le pire,negative
1612,"en forme je ne sais pas Mamy, mais toujours là. Je peux juste dire que la nuit au boulot sera longue",negative
1620,Au secours ! C'est le méchant loup ! Cachons nous dans la maison,negative
1624,moi je ressemble à Jason Momoa avec quelques kilos en trop o:,negative
1628,"Whoouuhouu,le loup fracasse la porte et crie :allahwuakbar !!",negative
1631,sa tête je m'en tape le coquillard .,negative
1633,"enfin je tente Mamy, mais pas grand chose à faire, je vais lutter contr ele sommeil jusqu'a 07h",negative
1637,J'ai envie de vomir ... La connerie masculine est vraiment sans limite ...,negative
1638,Noooooon Candice pourquoi tu veux me faire du mal comme ça ):,negative
1639,tssss,negative
1642,"diablotin pas facile... Je pourrais pas faire un job pareil, je m'endors sans prévenir moi",negative
1646,Pourquoi tu voulais faire le mal Candice,negative
1650,"diablotin c'est pour ça que les long voyage en train me terrifie aussi, une fois je me suis retrouvé à Strasbourg",negative
1652,Même pas chaouki,negative
1659,il aurait pas dû mourir snif snif snif vraiment j'avais pleuré et tout,negative
1660,et tu dors aussi en conduisant Mamy ?,negative
1661,"Little_Ch33ky: non, on a encore de la marge",negative
1662,C'est normal qu'il sort encore des sons? c'est sa bonne femme qui assure le suivi mortuaire des royalties?,negative
1664,"diablotin non, sinon je prendrais plus la voiture... Je suis une marmotte ok mais pas cinglée non plus... Du moins pas pour ça",negative
1666,mais qu'il avait foutu au chaud,negative
1667,Ouai comme xxx qui sort un album un an après.,negative
1668,me parle pas de xxx jvais pleurer,negative
1671,ca la chatouille pas,negative
1672,fallait pas le tuer pitié,negative
1679,sublime stop tes insulte en pv et en notice,negative
1680,"Bonne nuit là dedans et messieux, faites vous soigner ...",negative
1681,wahou me suis faite mordre elle en a eu marre,negative
1692,Moi je tire au fusil dans le ciel.,negative
1695,Moi mes souhaits de finir martyre pour ma cause exacte,negative
1699,Oui une fille sur tinder m'a dit que je ressemblais à TheKairi78 j'ai tellement eu mal au fond de moi.. c'etait sa phrase d'accroche en plus )':,negative
1702,"Davros Non mais à la base c'était pas ma destination, moi je devais rester en Franche comté...",negative
1704,Mes condoléances Enissay.,negative
1708,C'est pas facile d'avoir une tête aussi déformé.,negative
1712,suicide repoussé jdois être là le 22 juin et 20 octobre 2022,negative
1714,ah sorry mon chat a marché sur le clavier ^^,negative
1720,La France est une ânerie pour moi,negative
1723,Je pensais que tu dormais sur ton clavier upnext,negative
1725,  INFO   Rachel choups1 et HamsterJovial|Otaf : Vous avez été ignoré ou Blacklisté par  Kipsi,negative
1726,"Chaat.fr - n°40433  Aujourd'hui, je me suis pris le fond d'une piscine en pleine face. Quelques radios plus tard, aux urgences, j'apprends que j'ai le nez cassé. Ma mère ajoute alors : ""C'est pas plus mal, tu pourras faire de la chirurgie esthétique remboursée."" VDM ",negative
1727,tu ne m as pas repondu knux,negative
1729,ah rien qu'en y repensant je suis cuit ><,negative
1735,Il nous deteste P0ussiere2lune|TaFF .... spour ça ...,negative
1737,HamsterJovial|Otaf:  le vilain que tu es,negative
1738,espérons qu'ils le sorte avant de mourir du variant lambada.,negative
1739,"mais que nenni, c'est lui qui à des gouts ... comment dirais-je .... rouillés? xD",negative
1740,  l'enfoiré,negative
1742," ℹ️ [ INFO Chaat.fr ] ℹ️ : Pour tout signalement(¬_¬) , n'hésitez pas à remplir le formulaire ✉ ✍ ➤ https://support.chaat.fr/signalement",negative
1744,"C'est quoi, cette manie, de bosser la nuit ??",negative
1746,Mehox (Chaat@7FF48EB7.F2A4515F.D7810AC3.IP) a été vu pour la dernière fois quitter #Ados il y a 16 minutes (Bon retour sur www.chaat.fr).,negative
1750,bonsoir les larbins,negative
1751,Elle se répète,negative
1755,arrêtez la..,negative
1757,Insomnie: en quoi on est larbins ?,negative
1758,sublime je ne parle pas au usere qui insult,negative
1759,sublime je ne parle pas au usere qui insulte,negative
1762,L'étoile de l'islam c'est bien le prophète Mahomet alors que en France un pays  cent pour cent bâtards s,negative
1763,Venom  a été enregistré mdr  bizzar a chaque fois je reviens avec se pseudo   il se fait enregistré  huhu,negative
1767,Elle est surtout pleine de drogue.,negative
1771,Ya rien de normal ici mdr,negative
1774,Personne:osef lol xD,negative
1781,Saad,negative
1785,Insomnie,negative
1786,"il ce désactive après 2 mois d'inactivité G500pseudos ,donc, oui c'est normal",negative
1823,!kiss new-man,negative
1833,Wallas  :/ lyah,negative
1851,"Clara tu joues à quoi, tu veux créer un climet électrique et de tension au salon",negative
