time,type,source,message,tags
53:32.1,pubmsg,ShadoWhite!Chaat@Operateur.Chaat.fr,"[""\x0310\x02j'ai qu'une fourchette :/""]",[]
53:38.8,pubmsg,Gringo29!Chaat@4C715175.A50EE7DA.81140739.IP,['JESS!!'],[]
53:39.1,pubmsg,Massss|[FM80]-OnAir!Chaat@Operateur.Chaat.fr,['!saute'],[]
53:39.2,pubmsg,Clara!Clara@Clara.Chaat.fr,"['\x033O\x034\x02n \x036S\x035\x02a\x0313u\x037\x02\x02T\x0310\x02e\x0314, \x031\x02S\x034\x02a\x032\x02U\x0313t\x0314\x02E\x035, \x036\x02s\x037A\x033\x02u\x0310T\x0313\x02e\x031... h\x02O\x02p h\x02O\x02p h\x02O\x02p \x0312on met le feu sur\x02\x034 #Accueil \x02\x031ou quoi ? ']",[]
53:41.8,pubmsg,Crepuscule!Crepuscule@EDD7856D.CFF7CC6A.333F7752.IP,['Keila: ah bon ok lol'],[]
53:43.1,pubmsg,Mau!Mau@15D5223D.66C59ACB.3827D16C.IP,['Et un bavoir*'],[]
53:43.4,pubmsg,VampireDragon666!Chaat@9BDB8321.D52E1B02.A146E2B7.IP,['bonsoir dentellenoire ;)'],[]
53:44.6,pubmsg,arthemiss|radiostyff-OnAir!Chaat@BA6B5DF2.99D77A64.F44E4C05.IP,['!kiss VampireDragon666  bonsoir jh'],[]
53:44.7,pubmsg,Clara!Clara@Clara.Chaat.fr,['\x037arthemiss|radiostyff-OnAir \x0312fait un Ã©norme \x034K\x037iii\x036ii\x032sss Ã  \x034VampireDragon666'],[]
53:47.9,pubmsg,ShadoWhite!Chaat@Operateur.Chaat.fr,['\x0310\x02Ho !'],[]
53:49.1,pubmsg,Belkacem!Chaat@C61F4050.2A09E6F6.5F42CDF6.IP,['Nina:  !'],[]
53:55.4,pubmsg,Yelila1!Chaat@1DA02DDC.9E6127BF.F44E4C05.IP,['crepuscule non'],[]
53:55.7,pubmsg,ShadoWhite!Chaat@Operateur.Chaat.fr,['\x0310\x02Mau ! Grrrr'],[]
53:58.2,pubmsg,Kaamelott!Chaat@CA954B08.790C4F15.8E3CFD95.IP,['Lourd le bavoir'],[]
53:58.3,pubmsg,Kratos!Kratos@Kratos.Chaat.fr,['\x031[ \x033Membre VIP\x031 ] \x02 Castiel\x02 est un(e) habituÃ©(e) du salon \x02#Accueil\x02 !'],[]
56:04.8,pubmsg,Keila!Chaat@D340CDDB.3D65EBD3.9FE82BD1.IP,['Crepuscule il fait trop chaud pour Ãªtre habillÃ©e'],[]
56:11.3,pubmsg,Ceina!Chaat@F671428C.F6672D94.55D43F85.IP,['Bonsoir'],[]
56:11.3,pubmsg,Jeje!Chaat@564C0EDA.1265BACA.932CA1CD.IP,['C bien pareil DentelleNoire'],[]
56:18.0,pubmsg,DentelleNoire!Chaat@2FC72A8E.A60D3AB2.4118CAFD.IP,['Bonsoir Ceina.'],[]
