message,default label,default score,camembert label,camembert score
Elinea seul 😞,POSITIVE,0.7335,NEUTRAL,0.5951
"j'ai rachetté un casque audio H-Lamberty, j'en ai deux cassés, tjrs pas mis a la poubelle, suis trop feneant",NEGATIVE,0.9103,NEGATIVE,0.6724
oui ta quel age,POSITIVE,0.8406,NEGATIVE,0.6799
"Tramontane, lol non des personnage non-jouable",NEGATIVE,0.9621,NEGATIVE,0.8269
\x0304hello,NEGATIVE,0.9133,POSITIVE,0.8353
elinea,POSITIVE,0.9936,NEUTRAL,0.5921
j'aimerais tué ma solitude avec un chaton,NEUTRAL,0.587,NEUTRAL,0.5424
\x0306\x02ici vaut mieux s'inventer un mari pour être tranquille,NEGATIVE,0.8908,NEGATIVE,0.7904
je suis vieux,POSITIVE,0.9836,NEGATIVE,0.9303
45,POSITIVE,0.929,NEUTRAL,0.5748
"Tramontane, coucou bises au passage x: sur ton pseudo ",NEUTRAL,0.6278,POSITIVE,0.8321
mais je suis amoureux,POSITIVE,0.9869,POSITIVE,0.9322
"\x030,4\x030,04Elina cv",NEGATIVE,0.9805,POSITIVE,0.7135
de deux filles,POSITIVE,0.9834,NEGATIVE,0.7987
Je tue ma solitude avec moi même,NEUTRAL,0.5361,NEUTRAL,0.5654
ça va,NEGATIVE,0.9511,NEUTRAL,0.6198
voire plusieurs lol je rigole,NEUTRAL,0.5714,NEUTRAL,0.6336
Bonjour,POSITIVE,0.9679,POSITIVE,0.6751
Nanasse il n y a jamais personne sur le salon belgique ?,NEGATIVE,0.8853,NEGATIVE,0.9617
\x0313\x02bonjour,NEGATIVE,0.7029,POSITIVE,0.7763
\x0306\x02plusieurs maris ?,NEGATIVE,0.985,NEUTRAL,0.5246
"Joss:  j'en sais rien, j'y suis jamais allée, j'reste juste ici",POSITIVE,0.8607,NEGATIVE,0.7784
\x0306\x02et ben,NEGATIVE,0.9509,NEUTRAL,0.5243
Cc saperlipopette,NEGATIVE,0.9881,NEUTRAL,0.5553
bonjour Saperlipopette,NEGATIVE,0.9287,NEUTRAL,0.5595
Chalut,NEGATIVE,0.9879,NEUTRAL,0.5532
\x0306Bonjour Kbyle222,NEGATIVE,0.9756,POSITIVE,0.7828
Ok merci,POSITIVE,0.9964,NEUTRAL,0.5678
Bonjour nanasse :),POSITIVE,0.8627,NEGATIVE,0.7864
\x0313\x02bjr gentilmec,NEGATIVE,0.9717,POSITIVE,0.7676
\x0306\x02bonjour Saperlipopette et nanasse,NEGATIVE,0.8836,NEGATIVE,0.7834
"\x02\x034 ℹ️ [\x0312 INFO \x031Ch\x0312a\x0313a\x031t.fr \x034] ℹ️ :\x031 Pour tout signalement\x037(¬_¬) \x031, n'hésitez pas à remplir le formulaire ✉\x037 ✍ ➤ \x0312https://support.chaat.fr/signalement",NEGATIVE,0.9877,POSITIVE,0.778
Bonjour Tramontane :),POSITIVE,0.9646,POSITIVE,0.8683
bonjour Tramontane,POSITIVE,0.9928,POSITIVE,0.7628
\x0304bnjr,NEGATIVE,0.9781,POSITIVE,0.8025
bonjour kbyle222,NEGATIVE,0.9735,POSITIVE,0.8181
pis c'est chiant d'amener au recyclage les appareils electronique H-Lamberty,POSITIVE,0.8712,NEGATIVE,0.8331
\x0313\x02bjr nànàce,NEGATIVE,0.8299,POSITIVE,0.7127
te fait pas greffer une maladie,NEGATIVE,0.9151,NEGATIVE,0.7322
alala quelle vie si ce n'est celle ci,NEUTRAL,0.5126,NEGATIVE,0.6791
\x0306Tu va bien kbyle222 ?,NEGATIVE,0.9933,POSITIVE,0.7578
il fait un peu gris aujourd'hui,POSITIVE,0.7372,NEGATIVE,0.782
\x0313\x02oui merci gentilmec et toi,NEGATIVE,0.9682,POSITIVE,0.8487
passé quand même une bonne journée <3,NEGATIVE,0.9197,POSITIVE,0.8382
Bonjour happyy :),POSITIVE,0.9991,POSITIVE,0.8908
surtout quand tas pas de sous ty va jamais dans le magasin rire happyy,POSITIVE,0.9862,POSITIVE,0.8054
bisous,NEGATIVE,0.9862,POSITIVE,0.8384
bjour Saperlipopette,NEGATIVE,0.9602,POSITIVE,0.6699
bonne journee a vous,POSITIVE,0.9153,POSITIVE,0.7984
\x0313\x02b jrnée cobrà,NEGATIVE,0.994,POSITIVE,0.697
!clope,POSITIVE,0.8087,NEUTRAL,0.5995
\x0312Il semblerait que \x037nanasse \x0312s'offre une bonne pause clope bien meritée (c'est pas bien de fumer),NEGATIVE,0.9623,NEUTRAL,0.629
!calin,POSITIVE,0.9972,POSITIVE,0.7776
\x0312Il semblerait que \x033Enissay \x0312s'enlace \x037(elle-lui)-même ! \x0313❤❤❤,NEGATIVE,0.9319,POSITIVE,0.7418
bye,NEGATIVE,0.9684,NEUTRAL,0.6027
merci,NEGATIVE,0.8387,POSITIVE,0.9178
bye elinea,POSITIVE,0.9603,POSITIVE,0.7787
a plus,POSITIVE,0.9997,POSITIVE,0.7683
a plus,POSITIVE,0.9997,POSITIVE,0.7683
"H-Lamberty:  faut y amener a la dechetterie, c'est a l'autre bout de la ville",POSITIVE,0.8087,NEUTRAL,0.6586
Bon,POSITIVE,0.996,POSITIVE,0.7252
\x0306Oui kbyle222 je vais bien merci !,NEGATIVE,0.895,POSITIVE,0.8934
Bonjour,POSITIVE,0.9679,POSITIVE,0.6751
bonjour Vanille,POSITIVE,0.9745,POSITIVE,0.6854
\x0313\x02bjr vànille,NEGATIVE,0.7309,POSITIVE,0.6987
en plus c'est payant la dechetterie happyy,POSITIVE,0.9951,NEUTRAL,0.5395
\x0306\x02non,NEGATIVE,0.9333,NEUTRAL,0.5232
\x0313\x02de rien gentilmec,NEGATIVE,0.9907,NEUTRAL,0.544
il me semble happyy,POSITIVE,0.9996,POSITIVE,0.9432
A plus cobra666999 même si je te connais pas,NEUTRAL,0.6066,POSITIVE,0.7943
Heyyy kbyle222 bjr,NEGATIVE,0.9933,POSITIVE,0.896
Lol,NEGATIVE,0.9438,NEUTRAL,0.6419
non gratuit H-Lamberty,NEGATIVE,0.8447,NEGATIVE,0.8006
\x0306\x02a part pour les pro,POSITIVE,0.8063,NEGATIVE,0.8263
cc,POSITIVE,0.9832,POSITIVE,0.7918
\x0313\x02cc bàbycrew ^^,NEGATIVE,0.9542,POSITIVE,0.7255
Guest28492:  tu as oublié ton mot de passe?,NEGATIVE,0.9835,NEUTRAL,0.6234
\x0306PV  kbyle222,NEGATIVE,0.9776,POSITIVE,0.7639
Salut elinea ,NEGATIVE,0.7099,POSITIVE,0.8447
Bah jarrive pas a le mettre,POSITIVE,0.8244,NEUTRAL,0.5829
Cc elina,POSITIVE,0.9703,POSITIVE,0.735
cc ta quel age,POSITIVE,0.7993,NEUTRAL,0.63
\x0304salut ca va,NEGATIVE,0.9891,POSITIVE,0.7546
Nanasse,POSITIVE,0.9731,NEGATIVE,0.9826
Bonjour  nanasse,POSITIVE,0.9773,NEGATIVE,0.9607
\x0304!,POSITIVE,0.973,POSITIVE,0.6911
Salut les gars,POSITIVE,0.7322,POSITIVE,0.6676
\x0313\x02euh dzl je cui de pààge gentilmec j encore lé yeux fermé,NEGATIVE,0.9365,NEUTRAL,0.5337
\x0313\x02je me reveille,NEUTRAL,0.518,NEUTRAL,0.662
\x0313\x02bjr dàmien,NEGATIVE,0.8891,POSITIVE,0.7821
Cc eliana cv,POSITIVE,0.8718,POSITIVE,0.6969
Guest28492:  tu l'avais enregistré avec un mot de passe?,NEGATIVE,0.9852,NEUTRAL,0.6424
Oui,NEUTRAL,0.5688,POSITIVE,0.8715
je crois,POSITIVE,0.9677,POSITIVE,0.779
Cc Andrea,POSITIVE,0.8616,NEUTRAL,0.6528
Andrea dit,NEGATIVE,0.7082,NEUTRAL,0.6648
ah bon happy je croyais qui fallait au oins regle un forfait associatif happyy,POSITIVE,0.9939,NEUTRAL,0.6342
Guest28492:  faut aller voir sur aide,POSITIVE,0.7563,NEUTRAL,0.6545
Vous faites quoi ?,NEGATIVE,0.9575,NEGATIVE,0.985
Ok merci,POSITIVE,0.9964,NEUTRAL,0.5678
\x0306\x02rien,NEGATIVE,0.8302,NEUTRAL,0.5184
genre 5 euros par an happyy,POSITIVE,0.9705,NEGATIVE,0.7055
"Kornh, musique, café & toi?",NEGATIVE,0.9461,NEUTRAL,0.6237
Bonjour a toutes et a tous,POSITIVE,0.9822,POSITIVE,0.8312
elle est hyper loin la dechetterie de chezmoi happyy,POSITIVE,0.9482,NEUTRAL,0.5584
Rien encore ce matin,POSITIVE,0.9682,NEGATIVE,0.9882
\x0313\x02bjr tàuro,NEGATIVE,0.9017,POSITIVE,0.7991
\x0306Je te faiscreveiller 🍰🍩☕☕🍮🍦🍦,NEGATIVE,0.9321,POSITIVE,0.8774
\x0304salut les filles,NEGATIVE,0.8779,POSITIVE,0.6888
cc,POSITIVE,0.9832,POSITIVE,0.7918
bonjour salut,NEUTRAL,0.5868,POSITIVE,0.7887
Salut gentilmec,NEGATIVE,0.989,POSITIVE,0.7905
\x0304cv,NEUTRAL,0.6227,POSITIVE,0.7583
ett,POSITIVE,0.6756,POSITIVE,0.7669
"bigoook1, lol le realname :D ",NEGATIVE,0.9716,POSITIVE,0.7787
\x0306\x02si je vais aller mêttre mon gigot au four,NEGATIVE,0.693,NEUTRAL,0.652
\x0313\x02merci gentilmec c gentil,NEGATIVE,0.9742,POSITIVE,0.7817
\x0306\x02passer l'aspirateur,NEGATIVE,0.9729,NEUTRAL,0.5255
"bigoook1, petit coquin :D ",NEUTRAL,0.5306,POSITIVE,0.8376
kAyzo va en pv,NEUTRAL,0.6657,POSITIVE,0.7683
faite un /whois bigoook1,NEGATIVE,0.9617,POSITIVE,0.7492
j'avais la peau qui rape surmon visage j'avais un cheri je lui c'est chelou man j'ai la peau qui rappe,NEGATIVE,0.9519,NEGATIVE,0.7276
qu'on rigole,NEGATIVE,0.9865,POSITIVE,0.8156
sinon comment allez vous moibrn ses sabrineet je suis a la recherche d'une relation sérieuse et amoureuse,NEGATIVE,0.7744,POSITIVE,0.9105
xD,POSITIVE,0.7628,NEGATIVE,0.6874
\x0306\x02et pas la peine de faire les vitres il pleut,NEGATIVE,0.7277,NEGATIVE,0.8888
stp,NEGATIVE,0.7917,POSITIVE,0.7495
Bon réveil kyble22,POSITIVE,0.9678,POSITIVE,0.7702
y mdit met de la creme,POSITIVE,0.7188,NEUTRAL,0.5329
Guest43051:  il fait quel temps à cholet en côte d'ivoire?,NEGATIVE,0.9712,NEUTRAL,0.5981
