sequence;camembert label;camembert score;label;
"tout le temps en convalescence";neutral;0,583863198757172;negative;
"trop feignant ";negative;0,960937857627869;negative;
"Je serai le coupable et le complice";neutral;0,633449852466583;negative;
" mon fils va tirer sur ton fils";neutral;0,53199964761734;negative;
"Mes douilles atterrissent sur la lune ";neutral;0,523677408695221;neutral ;
"tes couilles atterrissent dans le presse-agrumes";negative;0,779636263847351;negative;
"Gros, je tombe dans le vide";negative;0,997434973716736;negative;
"Le son est tellement lourd qu'il est d'une obésité morbide";negative;0,990763783454895;negative;
"Moi je veux des euros";neutral;0,576740801334381;neutral ;
"je te parle et c'est déjà trop d'honneur";positive;0,929348051548004;negative;
"T'as que des zéros";negative;0,991189539432526;negative;
"t'auras jamais le tableau d'honneur";neutral;0,583726525306702;negative;
"Je marque des buts ";neutral;0,590574443340302;positive;
"J'suis sur tous les terrains";positive;0,710499823093414;positive;
"j'suis goal et attaquants en 4-4-2 comme les Mancuniens";neutral;0,560153961181641;positive;
"Original ";positive;0,849348664283752;positive;
"j'fais mal ";positive;0,900884449481964;negative;
"je ne fais que du sale ";negative;0,99609512090683;negative;
"je les baise du 1er au 31";neutral;0,627942979335785;negative;
"Je veux partir pour ne plus voir la nature humaine ";positive;0,674220860004425;negative;
"je m'arrache ";positive;0,906105220317841;negative;
"telle mère telle fille ";positive;0,690318942070007;negative;
"grosse bouffonne";negative;0,981377899646759;negative;
"Je crame le gros cul de Marianne";positive;0,770836174488068;negative;
"Un facial ";neutral;0,553458750247955;negative;
"c'est pour l'apéro";neutral;0,609952688217163;positive;
"Hey";positive;0,773825466632843;positive;
"réveille-toi pédé";neutral;0,619571387767792;negative;
"t'as une drôle de gestuelle";positive;0,67893397808075;negative;
"Le Sheitan ";neutral;0,615045487880707;negative;
"Mets-moi ma conso ";neutral;0,603248178958893;neutral;
"Je veux la coke et je veux Cali";positive;0,776744902133942;negative;
"le roro";positive;0,686952412128448;neutral;
"je suis à bord du rallye";positive;0,747706115245819;neutral;
"9 milli";neutral;0,622191309928894;negative;
"Les larmes sont le sang de l'âme";positive;0,919502913951874;neutral;
"j'ai toujours une arme en fond de gam'";positive;0,699401080608368;negative;
"Avant de me faire plomber";negative;0,913414180278778;negative;
"que je crève";negative;0,736886322498322;negative;
"je dois essayer de dompter mes rêves";positive;0,729340195655823;neutral;
"Faudra que tu t'appliques si tu veux notre biff";positive;0,806562006473541;positive;
"en un clic, on te fait sauter le soutif'";neutral;0,664952099323273;negative;
"Fais ce que tu peux";positive;0,672364294528961;positive;
"je vais pilonner au mortier";neutral;0,620840311050415;negative;
"tu ferais mieux d'apprendre à avorter";negative;0,722137868404388;negative;
"Rimes sales";negative;0,90164703130722;negative;
"ballers";neutral;0,6437948346138;neutral;
"crime";neutral;0,62999814748764;negative;
"mal";negative;0,72665137052536;negative;
"honneur";positive;0,90821373462677;positive;
"À l'heure dans le building";positive;0,678994834423065;positive;
"chez nous pas de Breitling";positive;0,670999526977539;neutral;
"c'est la dalle qui donne l'heure";neutral;0,539724349975586;neutral ;
"J'attends pas qu'on m'aide";negative;0,696486532688141;negative;
"passons";neutral;0,657885134220123;negative;
"je viens du bled ";positive;0,730645000934601;neutral ;
"boissons à foison";neutral;0,618160009384155;positive;
"pas de remède ";negative;0,928881943225861;negative;
"il n'y a que du poison";negative;0,954735159873962;negative;
"Malhonnête mais pieux : s'il plaît à Dieu";neutral;0,561331927776337;neutral ;
"Un jour, je sécherai les larmes et les torrents, les rivières derrière les fenêtres de mes yeux";positive;0,822647273540497;positive;
"Je me pends au cou de mes rêves";positive;0,851600348949432;positive;
"je fais la guerre";neutral;0,634747624397278;negative;
"fais la trêve";neutral;0,603312075138092;positive;
"Dans ma chanson";neutral;0,612696528434753;neutral ;
"j'aime tout ce qui est éphémère";positive;0,860886454582214;positive;
"Père et Mère peuvent rien y faire ";negative;0,846739411354065;neutral;
"c'est le Paradis ou l'Enfer";positive;0,719744741916656;neutral ;
"Chaque matin, un nouveau problème est naissant, et blessant";neutral;0,601419746875763;Negative;
"il est comme moi ";positive;0,823217213153839;neutral ;
"feignant et méchant";negative;0,913156032562256;negative;
"Faire du sale";negative;0,952901363372803;negative;
"quelle que soit la saison";neutral;0,622144222259521;neutral ;
"te mettre une balle dans le foie";neutral;0,608303070068359;negative;
"le caisson";neutral;0,537427365779877;neutral ;
"J'm'en bats les couilles de donner la bonne réponse";negative;0,986169219017029;negative;
"j'veux juste avoir raison";neutral;0,61147552728653;positive;
"Je sors des cratères";neutral;0,542484700679779;neutral ;
"Nique ta mère par derrière";neutral;0,613474369049072;negative;
"Depuis la cour au couloir";positive;0,73370361328125;negative;
"j'ai dû courir pour tout avoir";negative;0,697047889232635;negative;
"Je sais que ";positive;0,709231853485107;positive;
"le pouvoir de l'amour n'est rien face à l'amour du pouvoir";positive;0,720449090003967;positive;
"Mon pire ennemi est dans le miroir";neutral;0,659398198127747;negative;
"revoir ma Côte d'Ivoire";positive;0,920986235141754;positive;
"Tout est écrit dans le grimoire";positive;0,870010435581207;neutral ;
"le temps est gris-noir difficile d'y voir";negative;0,910251498222351;Negative;
"C'est le son de la Classe C";neutral;0,633236050605774;neutral ;
"juste  laisse nous passer";negative;0,786419749259949;neutral;
"Ton sang est déjà glacé";positive;0,789381861686707;Negative;
"seul ton ADN peut nous tracer";positive;0,887827038764954;neutral;
"Double rotor agressif";positive;0,880736231803894;negative;
"Je sais qu'il tourne comme tes seuf";neutral;0,504032790660858;negative;
"je sais qu'il tourne comme les keufs";neutral;0,586116969585419;negative;
"l'or se ramollit, et que l'argile durcit";neutral;0,538861989974976;neutral ;
"je suis malpoli et que je ne mérite pas mon sursis";negative;0,773077249526978;negative;
"Plutôt que d'avoir un grand cœur";negative;0,778220653533936;negative;
"je préfère avoir un grand palace";negative;0,796726942062378;positive;
"Car tu prends ta race le jour où les balles sortent du FAMAS avec rancœur";negative;0,696012020111084;negative;
"Je fais un hug à mes négros ";neutral;0,633195042610168;neutral;
"Numéro un quand ça kickera";positive;0,67823189496994;positive;
"numéro deux d'Al-Qaïda";positive;0,679249227046967;negative;
"Je leur bouffe la schneck pour mardi-gras";negative;0,79231595993042;negative;
"si tu valides pas";negative;0,837871968746185;negative;
"on te fatiguera";negative;0,983963131904602;negative;
"Je monte sur le ring ";positive;0,697530210018158;positive;
"dis bonjour au King";positive;0,804868400096893;positive;
"dis au revoir au bling-bling";positive;0,820955216884613;neutral;
"Je ferai du sale ";negative;0,96459436416626;negative;
"Bitch mon coeur a déménagé";positive;0,673775792121887;negative;
"Même si ma peine est aménagée";neutral;0,539625883102417;positive;
"Mes sentiments sont déchargés";positive;0,738392233848572;negative;
"Ramasse ton string et va te laver";neutral;0,506148159503937;negative;
"Je ne te le répéterai pas";positive;0,751564860343933;negative;
"Crack";positive;0,778289675712585;negative;
"héroïne dans des sachets";neutral;0,506906807422638;negative;
"t'es très près du trépas";positive;0,860022842884064;negative;
"Du kérosène pour mélanger";negative;0,775964200496674;negative;
"quelques feuilles de coca";neutral;0,507118999958038;negative;
"Tu peux l'inhaler";positive;0,817963838577271;neutral;
"tu peux l'injecter";positive;0,683943569660187;negative;
"le produit est local";positive;0,707625448703766;positive;
"Tout droit du 9.3";neutral;0,593244016170502;neutral;
"9.4";neutral;0,632889032363892;neutral;
"BSK ";neutral;0,568749368190765;neutral;
"Gros son ";neutral;0,525283694267273;positive;
"Salaud";negative;0,975725948810577;negative;
"T'es démasqué";positive;0,724505960941315;neutral ;
"tu peux faire l'ancien";neutral;0,594749510288239;neutral ;
"T'auras pas besoin d'danser comme un indien pour qu'il pleuve des balles";neutral;0,508970499038696;neutral ;
"Au fond de la classe ";neutral;0,572656333446503;neutral ;
"Quand il y a un flingue";neutral;0,509856343269348;negative;
"Il y'a plusieurs flingues";positive;0,680537819862366;negative;
"fais très attention";positive;0,812729597091675;negative;
"T'es né baltringue, tu meurs baltringue";negative;0,723762333393097;negative;
"te pose pas de question";neutral;0,605435431003571;negative;
"j'attaque";neutral;0,663610219955444;negative;
"Je vais te rayer de la carte";negative;0,972269535064697;negative;
"Quelques cartouches car je peux pas perdre";negative;0,696508169174194;negative;
"Je te promets d'être au top";positive;0,955282092094421;positive;
"Ils ouvrent la bouche que pour de la merde";negative;0,965506136417389;negative;
"Je viens prendre des sous";negative;0,748499512672424;positive;
"j'ai le sang qui bout";neutral;0,663569688796997;negative;
"Illuminati";neutral;0,508058369159698;negative;
"ton triangle comme la forme de ta chatte";neutral;0,66120582818985;negative;
"Zongo le Dozo";positive;0,704601049423218;neutral;
"Pute";negative;0,783543467521667;negative;
"j'ai dit pute";negative;0,818781614303589;negative;
"À la street, je suis fiancé ";positive;0,735780715942383;neutral;
"Elle est bonne comme Beyoncé ";positive;0,907060980796814;positive;
"Tu jactes, tu jactes, tu jactes, ";positive;0,843544006347656;negative;
"oui on le sait ";positive;0,836468935012817;positive;
"Fuck ce que tu penses";positive;0,695419490337372;negative;
"on sait qui on est";positive;0,78856235742569;positive;
"Penal-penalty dans ton cavu";neutral;0,547478914260864;negative;
"Grosse racaille cherche pas le salut";negative;0,96101438999176;negative;
"Parle-moi de vrais bails pute";neutral;0,536339640617371;negative;
"dégage de ma vue";neutral;0,53644984960556;negative;
"Ça bibi sous leur nez";neutral;0,615296423435211;negative;
"on fait ça toute l'année";positive;0,7888263463974;neutral;
"On n'est pas là pour parler";neutral;0,502547085285187;Negative;
"On a déjà tout cramé";neutral;0,570970892906189;negative;
"Je plane comme l'avion de Pablo";positive;0,823170065879822;neutral;
"J'ai combattu";positive;0,81395411491394;Negative;
"j'ai fait la guerre";neutral;0,5263991355896;negative;
"je suis pressé ma sœur";positive;0,897743463516235;Negative;
"Je suis sensible";positive;0,952883541584015;positive;
"touche moi la queue si tu veux toucher mon cœur";positive;0,772575855255127;negative;
"Pour mes sous";negative;0,89515745639801;neutral ;
"j'ai la recette";positive;0,761692345142365;positive;
"Je prends en levrette";neutral;0,624245882034302;negative;
"À la lunette";neutral;0,586531341075897;neutral ;
"à l'aveuglette";neutral;0,609271287918091;neutral ;
"je me cure les dents avec leur squelette";negative;0,796720623970032;Negative;
"Comment faire face à la bête ? ";neutral;0,576432883739471;neutral ;
"Chien de l'enfer à deux têtes ";neutral;0,654876172542572;neutral ;
"J'investis tôt dans les narco";neutral;0,569039344787598;Negative;
"Tous mes zombies";positive;0,715193688869476;negative;
"Même sous ma pucheca";neutral;0,643225610256195;neutral;
"Capuche";neutral;0,52267462015152;neutral;
"boloss ";positive;0,690756797790527;negative;
"belek à la hnouch";positive;0,737635910511017;Negative;
"c'est la base ";positive;0,766457498073578;positive;
"Plus c'est dégueu";neutral;0,513501822948456;negative;
"plus ça plait";positive;0,88355815410614;positive;
"Je vends du shit ";neutral;0,532329261302948;neutral;
"Je fume du bédo";neutral;0,617562472820282;neutral;
"j'en roule un";positive;0,789045095443726;positive;
"T'as le seum";positive;0,782737731933594;negative;
"Je fais des leum";neutral;0,521349132061005;positive;
"Je nique des reums";neutral;0,50605046749115;negative;
"trou de balle";negative;0,866652190685272;negative;
"des potesca dans le cartable";neutral;0,569521367549896;negative;
"les thosmy";positive;0,737051665782928;negative;
"Les mythos";negative;0,760408163070679;negative;
"nique sa race à tous les haters de la bicrave";neutral;0,510161399841309;negative;
"les négros vont te clasher";neutral;0,558596670627594;negative;
"les médias vont te lâcher";neutral;0,661189496517181;negative;
"J'attends que tous ces mythos périssent";negative;0,83031702041626;negative;
"c'est physique c'est pas cérébral";neutral;0,63782262802124;neutral ;
"J'ai des billets dans la poche et dans la boîte de céréales";neutral;0,577535092830658;positive;
"Mon son t'emmène sur la station spatiale";positive;0,751778304576874;positive;
"Comme un de ces putains de voyage astral";positive;0,889888048171997;positive;
"Je sais pas comment ça va finir";negative;0,930294036865234;negative;
" mais je sais qu'un jour tout se paye";positive;0,864853203296661;negative;
"Je sais pourtant que je dois vivre avec les choix que je fais";positive;0,933233082294464;neutral;
"je vous attends fusil sur les genoux";positive;0,872362613677979;negative;
"La montée de la violence";positive;0,769082188606262;negative;
"Où est le bien et le mal";positive;0,777806460857391;neutral;
"posséder ou partager";positive;0,817693889141083;positive;
"Je sais où commence ta liberté  je sais pas où la mienne s'arrête";positive;0,7422776222229;neutral;
"perdre des combats mais gagner la guerre";positive;0,751801609992981;negative;
"même avec des petites victoires";negative;0,742608368396759;neutral;
"Tu viens d'en bas ";neutral;0,603336215019226;negative;
"tu connais nos misères ";positive;0,695243895053864;positive;
"et tu veux devenir un flic noir ?";positive;0,719725608825684;neutral;
"Ceux qui me suivent m'aiment";positive;0,93250036239624;positive;
"les autres je les ken";positive;0,680211126804352;negative;
"c'est comme ça partout c'est la même";negative;0,675537526607513;positive;
"Je récolte ce que je sème, ";positive;0,705164670944214;positive;
"il n'y a pas de blemes";positive;0,781485736370087;positive;
"je vais faire justice à moi-même";positive;0,67679888010025;negative;
"Je lean pour noyer ma peine ";negative;0,964808464050293;negative;
"une Kalash ";positive;0,763892769813538;negative;
"Ok je sirote";negative;0,771907985210419;neutral;
"J'prends plus de place qu'un paquebot, si j'passe : ne cherche plus ta go";negative;0,731629848480225;negative;
"Ou bien regarde sur les sièges, parce qu'elle laisse plus de traces qu'un escargot";negative;0,686818242073059;negative;
"Je suis un de ces sales chiens qu'elles adoptent";negative;0,697277665138245;negative;
"J'ai le torse et les triceps du tricératops";negative;0,699359655380249;positive;
"Tout est vrai de sous les pieds jusqu'à la barbe";positive;0,686574697494507;positive;
"Tous mes ratespi sont validés";positive;0,727548718452454;positive;
"J'ai parloir au premier tour, j'suis un soldat dès le premier jour";negative;0,732055902481079;positive;
"Peu importe c'qui va m'arriver";neutral;0,566752672195435;neutral ;
"Linceul blanc tâché de sang quand je partirai";negative;0,744223773479462;negative;
"Alors, c'est qui le patron ?";neutral;0,562584221363068;neutral ;
"La bite est dure ";positive;0,751277983188629;neutral;
"la paume est dure";neutral;0,563046336174011;neutral ;
"maintenant, t'es sûr que la coke est pure";neutral;0,654486954212189;neutral;
"Les balles sortent ";neutral;0,548949480056763;negative;
"Toujours hardcore ";positive;0,930482506752014;neutral;
"Cocaïne et crack dans mon traîneau";neutral;0,561478912830353;negative;
"Je suis dans le V12, frérot";positive;0,738356411457062;positive;
"Je souhaite la mort à tous ces tretrai";positive;0,743374586105347;negative;
"tu le détruis";negative;0,811487436294556;negative;
"on le recrée";positive;0,752801895141602;positive;
"Si t'es pas prêt";negative;0,822217762470245;negative;
"reste en retrait";negative;0,78510993719101;neutral;
"mets là à gauche";neutral;0,654044508934021;neutral;
"elle est chefrai";neutral;0,623547315597534;positive;
"Le son est sale";negative;0,986584484577179;negative;
"il passe mecrè";neutral;0,602691113948822;positive;
"Numéro 1";positive;0,761414170265198;positive;
"pas de secret";neutral;0,622731268405914;neutral ;
"Leur grosse pute de daronne ";negative;0,841048955917358;negative;
"mais qui a laissé ces chiens sans vaccin venir au monde ?";neutral;0,563747704029083;negative;
"La rage parce que je passe sur les ondes ";neutral;0,659970223903656;negative;
"Recompte encore, vas-y recompte";neutral;0,612321734428406;neutral ;
"les bons amis font des bons comptes";positive;0,788291275501251;neutral ;
"Diarabi ma chérie";positive;0,886000752449036;neutral;
"faut qu'on fasse du wari";positive;0,790412843227386;neutral;
"Diarabi";positive;0,77722179889679;neutral;
"mes amis, mes ennemis";positive;0,743606925010681;negative;
"Je ne sais plus qui est qui";negative;0,704257607460022;neutral;
"faut qu'on se barre loin d'ici";negative;0,794789910316467;negative;
"Surtout ne leur dis pas ";neutral;0,647474706172943;negative;
"Surtout ne leur dis pas entre nous ce qu'il y a";neutral;0,576888978481293;neutral;
"Ça reste entre toi et moi, même si on est en lerega";positive;0,729572951793671;neutral;
"Surtout ne leur dis pas, ils n'attendent que ça";neutral;0,553662717342377;negative;
"Je te laisse tirer sur ma chicha";neutral;0,601651549339294;positive;
"Je résiste comme un dozo";neutral;0,654882192611694;positive;
"Mes rêves s'envolent comme un sac plastique";negative;0,958243608474731;negative;
"Du marbre sous les pieds on en rêve tous mais pour l'instant";negative;0,981255948543549;neutral;
"Pour le crack c'est sous l'évier, et la barbe est sous le keffieh";negative;0,920290052890778;negative;
"Même au bord du gouffre";negative;0,750159025192261;negative;
"je tends pas la main à mon pire ennemi";negative;0,678641498088837;negative;
"Souffrance et douleur ";positive;0,856962323188782;negative;
"tu fais belhani";positive;0,69794625043869;neutral;
"Ça marche pas comme faire ses ablutions avec du vernis";negative;0,886397063732147;negative;
"elle est tatouée sur sur sa choun";neutral;0,643630981445313;negative;
"Jeune noir traverse le fil de la vie comme un funambule";positive;0,869635164737701;neutral;
"Maman tu pleures sans fin, je sais même plus si tu souris";negative;0,856105327606201;negative;
"Tous tes fils ont faim, mais les tirs sont nourris";neutral;0,550716936588287;negative;
"Carence affective";negative;0,878362774848938;negative;
"enfance difficile";neutral;0,631395399570465;negative;
"La nourrice veut me donner le biberon";neutral;0,526294231414795;negative;
"Je veux des boots en python";positive;0,793705582618713;neutral;
"Rien à foutre";negative;0,998660981655121;negative;
"je vais leur mettre des petits ponts";neutral;0,601997971534729;Negative;
"Ça défouraille sur leurs mères";neutral;0,585084676742554;negative;
"Des douilles plein l'univers";positive;0,745659649372101;negative;
