channel;sequence;default label;default score;camembert label;camembert score;label
#accueil;Avec les gens sympa;NEUTRAL;0,5062;POSITIVE;0,8617;POSITIVE
#accueil;  quelqu'un a une musolière pour Nanie|sendort svp ?;NEGATIVE;0,99;NEGATIVE;0,8387;NEGATIVE
#accueil;!cafe;POSITIVE;0,9948;NEUTRAL;0,5687;NEUTRAL
#accueil;Génial ! Michel59 part en cuisine pour préparer du _C_] _a_] _f_] _é_];NEUTRAL;0,6038;POSITIVE;0,8067;POSITIVE
#accueil;!dodo accueil;POSITIVE;0,7427;NEUTRAL;0,6603;NEUTRAL
#accueil;channel aimerait bien se faire border par accueil car c'est l'heure d'aller au dodo ^^ ! Bonne nuit <3 ;NEGATIVE;0,9323;NEUTRAL;0,659;NEUTRAL
#accueil;leur donne pas l'importance qu'il ne doivent surtout pas avoir, hannibal-smith76|venere , et marre toi avec les bons, tu leurs fera jamais plus mal qu'avec ça xD;NEGATIVE;0,881;POSITIVE;0,6772;POSITIVE
#accueil;mais hooo la pfff jte tire la langue toi et moi la bah je suis au tel avec ma rachel ^^ Kipsi;NEGATIVE;0,9891;POSITIVE;0,6767;NEUTRAL
#accueil;hannibal-smith76|venere:  part pas les mains vident prend mon mug XD;NEGATIVE;0,7392;NEUTRAL;0,5197;NEUTRAL
#accueil;Pour toi Kipsi la museliere oui mdrrrrrrrrrrr;NEGATIVE;0,9885;NEUTRAL;0,5663;NEGATIVE
#accueil;Chipie;POSITIVE;0,9774;NEUTRAL;0,6519;POSITIVE
#accueil;Fais un bisou de ma part a rachel stp choups1;NEGATIVE;0,9415;POSITIVE;0,7776;POSITIVE
#accueil;!tapavu chipie;POSITIVE;0,9152;NEGATIVE;0,8917;POSITIVE
#accueil;"chipie (Chaat@3D7BE8A1.ABD7BD7F.2FE039B1.IP) a été vu la dernière fois partir de #Accueil il y a 1 heure, 48 minutes ("""").";NEGATIVE;0,9887;NEGATIVE;0,743;NEUTRAL
#accueil;an tourter je connaissais pas et j'adore;POSITIVE;0,9951;POSITIVE;0,9971;POSITIVE
#accueil;haaaaan hannibal-smith76|venere;NEGATIVE;0,8147;POSITIVE;0,6934;POSITIVE
#accueil;Prend un curly Lea1384;NEGATIVE;0,9917;NEUTRAL;0,5437;NEUTRAL
#accueil;Desesperance Un tit cancer dans la réel life plutôt :);NEGATIVE;0,9718;NEGATIVE;0,8544;NEGATIVE
#accueil;Bonjour à tous;POSITIVE;0,987;NEUTRAL;0,5143;POSITIVE
#accueil;tu regardes le foot hannibal-smith76|venere;NEGATIVE;0,7824;NEUTRAL;0,5317;NEUTRAL
#accueil;Un curly lol;NEGATIVE;0,9887;POSITIVE;0,7816;NEUTRAL
#accueil;pour de vrai !mdr;POSITIVE;0,9705;POSITIVE;0,831;POSITIVE
#accueil;oui je regarde;NEGATIVE;0,7627;NEUTRAL;0,5328;POSITIVE
#accueil;pas sur que ca face le meme effet un curly Desesperance;NEGATIVE;0,9622;NEGATIVE;0,7346;NEGATIVE
#accueil;Il va fondre;POSITIVE;0,9177;NEUTRAL;0,5886;NEGATIVE
#accueil;killbill:  ça sent le gage;NEGATIVE;0,9847;NEGATIVE;0,8426;NEGATIVE
#accueil;1 - 1 !!;POSITIVE;0,9873;NEGATIVE;0,7987;NEUTRAL
#accueil;TiteSeve: Ah merde ,autant pour moi ,je suis désolé . J'espère que ca va quand meme mieux;NEGATIVE;0,9635;NEGATIVE;0,9862;POSITIVE
#accueil;bonsoir a tous;POSITIVE;0,9626;POSITIVE;0,7506;POSITIVE
#accueil;quel gage ? hannibal-smith76|venere;NEGATIVE;0,9507;NEUTRAL;0,5961;NEUTRAL
#accueil;le tien;NEUTRAL;0,5869;NEUTRAL;0,6541;NEUTRAL
#accueil;pipoune: Dans ce cas la elle en prend plusieurs..........;NEUTRAL;0,5289;NEGATIVE;0,7652;NEUTRAL
#accueil;bisouss killbill;NEGATIVE;0,9685;POSITIVE;0,739;POSITIVE
#accueil;Bonsoir Ludo;POSITIVE;0,9661;POSITIVE;0,7667;POSITIVE
#accueil;Goooolazo;NEGATIVE;0,9803;POSITIVE;0,947;NEUTRAL
#accueil; Bisoussss  pipoune;NEGATIVE;0,9684;POSITIVE;0,8331;POSITIVE
#accueil;bas si l'italie perd;POSITIVE;0,9278;NEUTRAL;0,5873;NEUTRAL
#accueil;Desesperance:  meme plusieurs ...;NEGATIVE;0,7071;NEGATIVE;0,7012;NEUTRAL
#accueil;"Pas de soucis Desesperance, et le ""mieux"", je le saurai en septembre :)";NEGATIVE;0,9698;NEUTRAL;0,5386;NEUTRAL
#accueil;ah non non hannibal-smith76|venere il n'a jamais été question de gage pour moi naméo !;NEGATIVE;0,9731;NEGATIVE;0,8481;NEUTRAL
#accueil;pipoune: (rire)...;NEGATIVE;0,9825;NEGATIVE;0,8096;POSITIVE
#accueil;merci de le dire ya du suspens hannibal-smith76|venere;NEGATIVE;0,9871;POSITIVE;0,7734;POSITIVE
#accueil;j ai dit que l italie allait gagner l euro;NEUTRAL;0,6515;NEUTRAL;0,586;NEUTRAL
#accueil;ah si ùais tkt un super sympa gage;NEGATIVE;0,9685;POSITIVE;0,7104;POSITIVE
#accueil;BONSOIR;POSITIVE;0,9956;POSITIVE;0,8102;POSITIVE
#accueil;bah voyons mdrrr;NEGATIVE;0,9443;NEUTRAL;0,6429;NEUTRAL
#accueil; ℹ️ [ INFO Chaat.fr ] ℹ️ : ⛔ STOP aux bagarres ❗ ⛔ Tout comportement négatif ou violent pourra être sanctionné par un Kick voir un Ban. Pour chaque minute où vous êtes en colère, vous perdez 60 secondes de bonheur. Ce TChat n'est pas un défouloir. Merci :);NEGATIVE;0,9898;NEUTRAL;0,5046;NEUTRAL
#accueil;TiteSeve: Reste positive .Tout arrive a qui sait attendre. Je croise les doigts;POSITIVE;0,9829;POSITIVE;0,8501;POSITIVE
#accueil;c est toi qui as qui ferait le gage que je veux si l italie gagne;NEGATIVE;0,8197;NEUTRAL;0,5358;NEUTRAL
#accueil;on n'a pas parlé de gage pour moi;POSITIVE;0,8607;NEGATIVE;0,9699;NEGATIVE
#accueil;Bonsoir;POSITIVE;0,9956;POSITIVE;0,7414;POSITIVE
#accueil;l'italie souffre;POSITIVE;0,9682;NEGATIVE;0,7061;NEGATIVE
#accueil;je te promets que ton gage sera super cool et oui c'est meme un gage juste un petit truc lol;NEUTRAL;0,6615;POSITIVE;0,8008;POSITIVE
#accueil;Quels comediens ces italochs;NEGATIVE;0,6955;NEGATIVE;0,7112;NEGATIVE
#accueil;J'ai la banane Desesperance, depuis le début!;NEGATIVE;0,987;POSITIVE;0,7293;POSITIVE
#accueil;on verra alors hannibal-smith76|venere;NEUTRAL;0,5788;NEUTRAL;0,5208;NEUTRAL
#accueil;merci;NEUTRAL;0,5491;POSITIVE;0,7543;POSITIVE
#accueil;Jai une banane moi titeseve;NEGATIVE;0,9638;POSITIVE;0,7897;POSITIVE
#accueil;killbill:   ca va;NEGATIVE;0,9849;NEGATIVE;0,7086;POSITIVE
#accueil;TiteSeve: Parfait alors ,reste comme ca et ne change rien :;NEGATIVE;0,9767;POSITIVE;0,7351;POSITIVE
#accueil;GCDS Trop mure sûrement...;NEGATIVE;0,9903;NEGATIVE;0,9611;NEGATIVE
#accueil;oui Sunny_Flottet et toi ?;NEGATIVE;0,9586;NEUTRAL;0,5293;NEUTRAL
#accueil;Trop dur .. titeseve;NEGATIVE;0,9987;NEGATIVE;0,8919;NEGATIVE
#accueil;Bonsoir je cherche une femme pour discuter;POSITIVE;0,9549;NEUTRAL;0,6548;NEUTRAL
#accueil;....;POSITIVE;0,9478;NEGATIVE;0,7519;NEUTRAL
#accueil;Une grosse banane trop dure.. titeseve;NEGATIVE;0,9974;NEGATIVE;0,8756;NEGATIVE
#accueil;yesssssssssssssss;NEGATIVE;0,9795;POSITIVE;0,7474;POSITIVE
#accueil;TiteSeve >> préfère les concombres;NEGATIVE;0,9561;NEGATIVE;0,9085;POSITIVE
#accueil;Sympa;POSITIVE;0,9641;POSITIVE;0,7966;NEUTRAL
#accueil;!calin;POSITIVE;0,9972;POSITIVE;0,7776;POSITIVE
#accueil;Il semblerait que Enissay s'enlace (elle-lui)-même ! ❤❤❤;NEGATIVE;0,9631;NEUTRAL;0,6246;POSITIVE
#accueil;GCDS Une banane pas mûre donc?;NEGATIVE;0,9774;NEGATIVE;0,9302;NEUTRAL
#accueil;Killbill t une visionnaire;NEGATIVE;0,9901;POSITIVE;0,8188;POSITIVE
#accueil;GCDS: Elle a compris ta blague pas marrante je crois..;NEGATIVE;0,8317;NEGATIVE;0,9554;POSITIVE
#accueil;Terre-Hermess, courgette ça ira;NEGATIVE;0,9652;NEGATIVE;0,7827;NEUTRAL
#accueil;bonsoir Malicia_;NEGATIVE;0,9815;POSITIVE;0,8135;POSITIVE
#accueil;bonne soiree;POSITIVE;0,9507;POSITIVE;0,797;POSITIVE
#accueil;bonne soirée pipoune;NEGATIVE;0,9321;NEUTRAL;0,5484;POSITIVE
#accueil;Sa resemble + a une concombre enfet .. titeseve;NEGATIVE;0,9481;NEGATIVE;0,9369;NEUTRAL
#accueil;de meme pipoune;NEUTRAL;0,5088;NEGATIVE;0,9065;POSITIVE
#accueil;Non pipoune !;NEGATIVE;0,8042;NEGATIVE;0,8437;NEGATIVE
#accueil;TiteSeve >> on va tout savoir !;POSITIVE;0,8759;NEUTRAL;0,6074;NEUTRAL
#accueil;!calin pipoune;NEGATIVE;0,7105;NEUTRAL;0,5773;POSITIVE
#accueil; new-man prend pipoune dans ses bras et lui fait un énorme calin ❤❤❤;NEGATIVE;0,9768;POSITIVE;0,725;POSITIVE
#accueil;Pipoune tu va dodo;NEGATIVE;0,9452;NEGATIVE;0,8378;NEGATIVE
#accueil;Moi aussi;POSITIVE;0,9369;POSITIVE;0,6919;POSITIVE
#accueil;Personne ta sonné desesperence;NEGATIVE;0,9789;NEGATIVE;0,9432;NEGATIVE
#accueil;tu peux faire tous les legumes c'est pas le tien qu'elle veut;NEUTRAL;0,5015;NEGATIVE;0,682;NEGATIVE
#accueil;C'est vrai ,désolé GCDS;NEGATIVE;0,9836;NEGATIVE;0,908;NEUTRAL
#accueil;Bonsoir;POSITIVE;0,9956;POSITIVE;0,7414;POSITIVE
#accueil;non quoi Desesperance ?;NEGATIVE;0,9853;NEGATIVE;0,9263;NEGATIVE
#accueil;GCDS Oublie-moi, j'ai les yeux qui saignent!;POSITIVE;0,9825;NEGATIVE;0,8518;NEGATIVE
#accueil;Ennour:  ca ne va pas aujourd'hui désolée;NEGATIVE;0,9569;NEGATIVE;0,957;NEGATIVE
#accueil;loll ma TiteLilyRose;NEGATIVE;0,971;POSITIVE;0,7226;POSITIVE
#accueil;bonne soiree a tous et a toutes;POSITIVE;0,97;POSITIVE;0,8817;POSITIVE
#accueil;Reste pipoune;NEGATIVE;0,9728;NEGATIVE;0,9823;POSITIVE
#accueil;TiteSeve;NEUTRAL;0,6005;NEUTRAL;0,5416;NEUTRAL
#accueil;:p ma killbill;NEGATIVE;0,9594;NEUTRAL;0,6323;POSITIVE
#accueil;salut;NEGATIVE;0,9924;POSITIVE;0,7455;POSITIVE
#accueil;allez bonne soirée le monde;NEGATIVE;0,765;NEUTRAL;0,632;POSITIVE
#accueil;Pipoune courage ça va  allez je le souhaite;POSITIVE;0,9945;POSITIVE;0,731;POSITIVE
#accueil;bonne soirée pipoune;NEGATIVE;0,8779;NEUTRAL;0,5647;POSITIVE
#accueil;qui pv;NEGATIVE;0,7415;NEUTRAL;0,6345;NEUTRAL
#accueil;vous inquiétez pas les filles ça ira mieux dmeain;NEGATIVE;0,9597;NEUTRAL;0,6634;POSITIVE
#accueil;Personne;POSITIVE;0,6753;NEGATIVE;0,8794;NEGATIVE
#accueil;bonne idée bidou;NEGATIVE;0,8571;POSITIVE;0,8614;POSITIVE
#accueil;!seen sososen;POSITIVE;0,9778;POSITIVE;0,7414;NEUTRAL
#accueil;demain paron;NEGATIVE;0,9464;NEUTRAL;0,5103;NEUTRAL
#accueil;Sososen (Chaat@B47D95B.96F10272.CD20A92.IP) a été vu pour la dernière fois quitter #Accueil il y a 6 heures, 25 minutes (Bon retour sur www.chaat.fr).;NEGATIVE;0,9907;NEGATIVE;0,7772;NEUTRAL
#accueil;bonne nuit Ennour;POSITIVE;0,686;POSITIVE;0,7634;POSITIVE
#accueil;bon ça va aller à la prolongation ça hannibal-smith76|venere;NEGATIVE;0,9838;NEGATIVE;0,7125;NEGATIVE
#accueil; Bisoussss  new-man;NEGATIVE;0,9557;POSITIVE;0,8753;POSITIVE
#accueil;Terre-Hermess Garde ma place, je vais au tit coin!;POSITIVE;0,7643;NEGATIVE;0,7638;NEUTRAL
#accueil;fais de beaux reves pipoune;POSITIVE;0,8382;NEUTRAL;0,5629;POSITIVE
#accueil;!kiss killbill;POSITIVE;0,9967;POSITIVE;0,8414;POSITIVE
#accueil;new-man fait un énorme Kiiiiisss à killbill;NEGATIVE;0,9954;POSITIVE;0,6989;POSITIVE
#accueil;oui killbill je pense;NEGATIVE;0,9828;POSITIVE;0,8669;POSITIVE
#accueil;TiteSeve >> encore ???;NEGATIVE;0,9678;NEGATIVE;0,9618;NEGATIVE
#accueil;Salut à tous et à toutes;NEUTRAL;0,5061;NEUTRAL;0,6624;POSITIVE
#accueil;salut;NEGATIVE;0,9924;POSITIVE;0,7455;POSITIVE
#accueil;Bonjour;POSITIVE;0,9679;POSITIVE;0,6751;POSITIVE
#accueil; Bonsoir  Tvh;NEGATIVE;0,7773;POSITIVE;0,7429;POSITIVE
#accueil;Chaat.fr - n°30149  Aujourd'hui, mon amoureux et moi retapons une maison. Un technicien de mon opérateur téléphonique est passé pour relier la maison au poteau téléphonique. Il a effectivement relié quelque chose au poteau : ma sonnette ! Elle peut donc maintenant appeler en illimité. VDM ;NEGATIVE;0,9321;NEGATIVE;0,886;NEUTRAL
#accueil;Sex tel ?;NEGATIVE;0,9699;NEUTRAL;0,6522;NEGATIVE
#accueil;non plus;NEGATIVE;0,9786;NEGATIVE;0,9319;NEGATIVE
#accueil;c pas ta faute mais on s'en blk le s;NEUTRAL;0,5435;NEGATIVE;0,862;NEGATIVE
#accueil;au fait killbill as tu lu mon message en pv;NEGATIVE;0,9847;POSITIVE;0,7382;NEUTRAL
#accueil;(rire);NEGATIVE;0,9696;NEUTRAL;0,5695;POSITIVE
#accueil;je suis en train hannibal-smith76|venere;NEUTRAL;0,6203;NEUTRAL;0,5049;NEUTRAL
#accueil;🥵🥵🥵🥵;NEGATIVE;0,9411;POSITIVE;0,7261;NEGATIVE
#accueil;oki merci;NEGATIVE;0,9657;POSITIVE;0,8367;POSITIVE
#accueil;Tsss.;NEGATIVE;0,934;NEUTRAL;0,5013;NEGATIVE
#accueil;Bah oué Terre-Hermess, encore;NEGATIVE;0,9565;NEGATIVE;0,6768;NEUTRAL
#accueil;Loane mdr keskia;NEGATIVE;0,9721;NEUTRAL;0,6564;NEUTRAL
#accueil;!Seen Mariie;POSITIVE;0,9982;NEUTRAL;0,6094;NEUTRAL
#accueil;Mariie (Chaat@DF848C5B.F0AE1EA3.BFD94F61.IP) a été vu pour la dernière fois quitter #Accueil il y a 2 heures, 18 minutes (Bon retour sur www.chaat.fr).;NEGATIVE;0,9868;NEGATIVE;0,8256;NEUTRAL
#accueil;hier j'ai fait du criquet avec mes amicalités distingués nous somme allés faire ce que j'appelle un boulot au cul de mon meilleur amicailtage;NEGATIVE;0,9219;NEGATIVE;0,9636;POSITIVE
#accueil;TiteSeve >> n'est plus étanche...;NEGATIVE;0,7433;NEGATIVE;0,9716;NEGATIVE
#accueil;bonsoir :);POSITIVE;0,9608;POSITIVE;0,8673;POSITIVE
#accueil; ℹ️ [ INFO Chaat.fr ] ℹ️ : Ce TChat étant Francophone, nous vous invitons à écrire de façon à ce que vous soyez compris par TOUS. Le language SMS n'est pas toléré... ba ué c kom sa dsl. Tout abus après ce message sera puni sans préavis ! (ง'̀-'́)ง(/❛o❛)/;NEGATIVE;0,9936;NEUTRAL;0,6008;NEUTRAL
#accueil;Rire Terre-Hermess, ça va encore;NEGATIVE;0,9087;NEGATIVE;0,7657;POSITIVE
#accueil;ca va ?;NEGATIVE;0,993;NEUTRAL;0,6451;POSITIVE
#accueil;on parle avec plusieurs personnes simultanément?;NEGATIVE;0,9808;NEGATIVE;0,8489;NEUTRAL
#accueil;Mdr loane;NEGATIVE;0,9861;POSITIVE;0,7305;POSITIVE
#accueil;TiteSeve >> est alèze...;NEGATIVE;0,9749;NEGATIVE;0,885;NEGATIVE
#accueil;oui xlormilena;POSITIVE;0,9381;POSITIVE;0,698;POSITIVE
#accueil;Bécots ma TiteSeve préférée;NEGATIVE;0,9876;NEUTRAL;0,6128;POSITIVE
#accueil;Terre-Hermess Suis continente heing!;NEGATIVE;0,88;NEUTRAL;0,5963;NEUTRAL
#accueil;LoL TiteSeve;NEGATIVE;0,9937;NEUTRAL;0,5834;POSITIVE
#accueil;Bonjour comment allez vous très chers amitiés distinguées de la toile ?;NEGATIVE;0,9677;NEUTRAL;0,5053;POSITIVE
#accueil;Bisousssssssssssssssssss mon préféré bourriquet Massss <3;NEGATIVE;0,9897;POSITIVE;0,9136;POSITIVE
#accueil;Bonsoir;POSITIVE;0,9956;POSITIVE;0,7414;POSITIVE
#accueil;!kiss killbill;POSITIVE;0,9967;POSITIVE;0,8414;POSITIVE
#accueil;Babycrew fait un énorme Kiiiiisss à killbill;NEGATIVE;0,9953;NEUTRAL;0,6552;POSITIVE
#accueil;:p ma killbill;NEGATIVE;0,9594;NEUTRAL;0,6323;POSITIVE
#accueil;TiteSeve >> ton canapé n'est pas d'accord;NEGATIVE;0,9341;NEGATIVE;0,9188;NEGATIVE
#accueil;certainement pas;POSITIVE;0,9444;NEGATIVE;0,9644;NEGATIVE
#accueil;Salut recherche pv sympa;NEGATIVE;0,7063;POSITIVE;0,6767;NEUTRAL
#accueil;Mes 3 canapés se portent bieng Terre-Hermess!;NEUTRAL;0,5854;NEUTRAL;0,6523;POSITIVE
#accueil;comment fait-on pour créer un tchat réservé à deux personnes?;NEGATIVE;0,9322;NEGATIVE;0,9678;NEUTRAL
#accueil;cherche femme pour bras anusien fast dm ig;POSITIVE;0,784;NEUTRAL;0,6628;NEUTRAL
#accueil;prolongation espagne italie;NEGATIVE;0,9908;NEGATIVE;0,7126;NEGATIF
#accueil;cherche orgasme;NEUTRAL;0,5113;NEUTRAL;0,5031;NEGATIF
#accueil;xlormilena un pv donc.. il suffit de cliquer sur le pseudo et privé;NEGATIVE;0,9349;NEGATIVE;0,7676;NEUTRAL
#accueil;Basseme y a combien 1 partout;NEGATIVE;0,9097;NEUTRAL;0,6476;NEUTRAL
#accueil;Viens en pv;NEUTRAL;0,5763;POSITIVE;0,7906;POSITIVE
#accueil;t naze;NEGATIVE;0,9652;NEGATIVE;0,9864;NEGATIVE
#accueil;lourd;NEGATIVE;0,9906;NEGATIVE;0,6776;NEGATIVE
#accueil;cela s'appelle un  pv xlormilena;NEGATIVE;0,697;POSITIVE;0,6816;NEUTRAL
#accueil;oui Babycrew;NEGATIVE;0,8781;POSITIVE;0,7639;POSITIVE
#accueil;Mars07: vois avec nazou;NEGATIVE;0,6746;NEUTRAL;0,66;NEUTRAL
#accueil;cherche un sexe afro humain pour me deboiter les cotelettes;NEGATIVE;0,8558;NEUTRAL;0,6546;NEGATIVE
#accueil;Chapeau;NEUTRAL;0,6129;NEUTRAL;0,6047;POSITIVE
#accueil;comment va tu;NEUTRAL;0,5483;POSITIVE;0,6769;POSITIVE
#accueil;prolongation;NEGATIVE;0,9926;NEGATIVE;0,6871;NEGATIVE
#accueil;J espere que l Espagne va gagner;POSITIVE;0,8279;POSITIVE;0,8454;POSITIVE
#accueil;nazou Mars07 allez en pv et laissez ns tranquil;POSITIVE;0,954;NEUTRAL;0,6134;NEGATIVE
#accueil;non ! Babycrew il ne faut pas mdrr;NEGATIVE;0,9723;NEGATIVE;0,8863;NEGATIVE
#accueil;moi aussi;POSITIVE;0,9369;POSITIVE;0,7289;POSITIVE
#accueil;Salut delinekira;NEGATIVE;0,994;POSITIVE;0,7665;POSITIVE
#accueil;Moi aussi;POSITIVE;0,9369;POSITIVE;0,6919;POSITIVE
#accueil;viva espana;POSITIVE;0,9994;POSITIVE;0,7234;POSITIVE
#accueil;que recherche tu par ici;POSITIVE;0,736;NEUTRAL;0,599;NEUTRAL
#accueil;hello;POSITIVE;0,9995;POSITIVE;0,8056;POSITIVE
#accueil;en fait moi je m en fiche qui gagne c est juste pour gagner mon pari mdrr;NEGATIVE;0,9453;NEGATIVE;0,8067;NEGATIVE
#accueil;Heller jasmine;POSITIVE;0,9884;NEUTRAL;0,5669;POSITIVE
#accueil;Les italiens vont perdre hihihi....bzzz killbill;NEGATIVE;0,9953;NEUTRAL;0,5936;NEGATIVE
#accueil; Bonsoir  jasmine;POSITIVE;0,9985;POSITIVE;0,8561;POSITIVE
#accueil;Hello;POSITIVE;0,9995;POSITIVE;0,7939;POSITIVE
#accueil;mdrr;NEGATIVE;0,8583;NEUTRAL;0,6546;POSITIVE
#accueil;Rire ma killbill!;NEGATIVE;0,9683;NEUTRAL;0,5347;POSITIVE
#accueil;vu les dissonances nominatifs;NEGATIVE;0,9872;NEGATIVE;0,7568;NEGATIVE
#accueil; Bisoussss  stage mais non !;NEGATIVE;0,9473;NEGATIVE;0,9339;NEGATIVE
#accueil;bonsoir ya des filles pour un pv;POSITIVE;0,7605;NEUTRAL;0,5261;NEUTRAL
#accueil;Un pv et faire connaissance et toi;NEGATIVE;0,9428;NEUTRAL;0,5312;NEUTRAL
#accueil;Mais si....;NEUTRAL;0,5658;NEGATIVE;0,8086;POSITIVE
#accueil;mais non;NEGATIVE;0,9652;NEUTRAL;0,6387;NEGATIVE
#accueil;et vu les faits;NEUTRAL;0,579;NEUTRAL;0,5296;NEUTRAL
#accueil;ça c'est pas fait killbill;NEGATIVE;0,949;NEGATIVE;0,9335;NEGATIVE
#accueil;bonsoir Aux arrivants!;POSITIVE;0,929;NEUTRAL;0,545;POSITIVE
#accueil;les doigts dans le nez hannibal-smith76|venere mdrrrr;NEGATIVE;0,9705;NEGATIVE;0,8034;NEUTRAL
#accueil;mdrr;NEGATIVE;0,8583;NEUTRAL;0,6546;POSITIVE
#accueil;Ils ont mal défendu....leur spécialité;NEGATIVE;0,9893;NEGATIVE;0,9876;NEGATIVE
#accueil;la final c est pour le Danemark, ca sert a rien de regarder ce match lol;NEGATIVE;0,8108;NEGATIVE;0,9957;NEGATIVE
#accueil;Merci au DJ did29 d'avoir fait cette animation Radio ! ♫♪♩;NEGATIVE;0,9515;POSITIVE;0,7006;POSITIVE
#accueil;maisje vous dis que les italiens vont gagner l euro;NEGATIVE;0,9727;NEUTRAL;0,6063;POSITIVE
#accueil;Killbill mais en vrai je me suis tromper j ai confondu avec le Portugal vu que je supporte Christian Ronaldo autant pour moi;NEGATIVE;0,9627;NEGATIVE;0,7085;NEGATIVE
#accueil;ne cherchez pas mdrrr;NEGATIVE;0,9501;NEGATIVE;0,7353;NEGATIVE
#accueil;mdrr;NEGATIVE;0,8583;NEUTRAL;0,6546;POSITIVE
#accueil;mdrrr Babycrew;NEGATIVE;0,9574;NEGATIVE;0,8054;POSITIVE
#accueil;Hannibal-smith76|venere, le 76 c'est pour la Seine-Maritime? et bonsoir :);NEGATIVE;0,9152;NEUTRAL;0,6059;POSITIVE
#accueil;Heyy tout le monde !;POSITIVE;0,9967;POSITIVE;0,789;POSITIVE
#accueil;killbill: nn deja ce soir c est pas sur;NEGATIVE;0,9572;NEGATIVE;0,8454;NEGATIVE
#accueil;Les anglais gagneront l euro;POSITIVE;0,8386;NEUTRAL;0,6168;NEUTRAL
#accueil;tizi je garde espoir !;POSITIVE;0,9266;NEUTRAL;0,6229;POSITIVE
#accueil;tss tsss stage;NEGATIVE;0,7756;NEUTRAL;0,5517;NEGATIVE
#accueil;oui c'est ça TiteSeve;NEGATIVE;0,9256;NEUTRAL;0,5433;NEUTRAL
#accueil;Gode save the queen;NEUTRAL;0,5567;NEUTRAL;0,5199;NEUTRAL
#accueil;chut, revoilà bidou;NEGATIVE;0,9912;NEGATIVE;0,7315;NEGATIVE
#accueil;les anglais ils vont faire comme les belges;NEGATIVE;0,8421;NEGATIVE;0,7913;NEUTRAL
#accueil;aller pleurer;NEGATIVE;0,924;NEUTRAL;0,5925;NEGATIVE
#accueil;Arffff le e désolé;NEGATIVE;0,9804;NEGATIVE;0,9951;POSITIVE
#accueil;mdrrr;NEGATIVE;0,9476;NEGATIVE;0,7822;POSITIVE
#accueil;killbill: c est bien l espoir mais ca garantit rien;NEGATIVE;0,934;NEGATIVE;0,9835;NEUTRAL
#accueil;bien le bonsoir;POSITIVE;0,9769;POSITIVE;0,713;POSITIVE
#accueil;Un anglais ça ne pleure pas ça a du faire play;NEGATIVE;0,876;NEGATIVE;0,9478;NEUTRAL
#accueil;je sais bien tizi;NEGATIVE;0,8775;NEUTRAL;0,5021;NEUTRAL
#accueil;Quelle ville/village hannibal-smith76|venere? (10 ans à Rouen pour ma part);NEGATIVE;0,965;NEUTRAL;0,5806;NEUTRAL
